,Ensembl.ID,HGNC.ID,HGNC.symbol,Mut.Freq,RelEffect,AbsEffect,p
1,ENSG00000121879,HGNC:8975,PIK3CA,328,0.245815324,570.8735081,0.005
2,ENSG00000151914,HGNC:1090,DST,75,-0.525359029,-18758.52833,0.005154639
3,ENSG00000198947,HGNC:2928,DMD,59,-0.675946623,-2818.270104,0.015
4,ENSG00000039068,HGNC:1748,CDH1,55,1.973177496,20281.88393,0.005
5,ENSG00000141027,HGNC:7672,NCOR1,44,0.298908112,1743.139264,0.005
6,ENSG00000127603,HGNC:13664,MACF1,43,0.961933561,10218.31088,0.005235602
7,ENSG00000084674,HGNC:603,APOB,42,3.879671811,16.2472769,0.005
8,ENSG00000081479,HGNC:6694,LRP2,40,5.566193378,6432.023979,0.005
9,ENSG00000085224,HGNC:886,ATRX,39,0.520397687,2762.931935,0.005
10,ENSG00000196712,HGNC:7765,NF1,36,3.157310673,6445.95184,0.005
11,ENSG00000166147,HGNC:3603,FBN1,34,0.541269871,6134.834861,0.005181347
12,ENSG00000171862,HGNC:9588,PTEN,34,0.451308388,2642.034401,0.005
13,ENSG00000165124,HGNC:15985,SVEP1,33,-0.810693144,-6400.350773,0.025
14,ENSG00000111642,HGNC:1919,CHD4,32,-0.097286783,-2167.027339,0.025
15,ENSG00000152818,HGNC:12635,UTRN,30,0.341520901,1549.364181,0.015463918
16,ENSG00000198734,HGNC:3542,F5,30,-0.530172659,-306.4269988,0.015
17,ENSG00000141736,HGNC:3430,ERBB2,28,19.25144119,53328.42439,0.005
18,ENSG00000065559,HGNC:6844,MAP2K4,28,0.434703291,712.4423572,0.005
19,ENSG00000196924,HGNC:3754,FLNA,27,0.434926078,25156.13982,0.005235602
20,ENSG00000142208,HGNC:391,AKT1,27,-0.661890833,-29272.60217,0.015
21,ENSG00000104517,HGNC:16806,UBR5,26,0.289932751,2360.437948,0.015
22,ENSG00000149311,HGNC:795,ATM,25,0.319153931,705.3179929,0.005235602
23,ENSG00000178209,HGNC:9069,PLEC,24,0.635678383,10220.10592,0.005235602
24,ENSG00000101680,HGNC:6481,LAMA1,24,-0.832531809,-1963.969666,0.01
25,ENSG00000178104,HGNC:15580,PDE4DIP,23,0.695620855,2178.393811,0.010471204
26,ENSG00000118058,HGNC:7132,KMT2A,23,0.438644255,1542.594395,0.005
27,ENSG00000065534,HGNC:7590,MYLK,23,-0.644020346,-13445.57107,0.005181347
28,ENSG00000130396,HGNC:7137,AFDN,22,1.759307864,4982.453911,0.015
29,ENSG00000278540,HGNC:84,ACACA,22,1.111720402,3466.662673,0.005076142
30,ENSG00000142798,HGNC:5273,HSPG2,22,0.527987674,6548.406103,0.005235602
31,ENSG00000137076,HGNC:11845,TLN1,22,0.420664094,7233.550051,0.015706806
32,ENSG00000167522,HGNC:21316,ANKRD11,22,0.12077916,506.1630228,0.025
33,ENSG00000196367,HGNC:12347,TRRAP,22,-0.32450515,-3181.777767,0.005076142
34,ENSG00000203710,HGNC:2334,CR1,22,-0.408211089,-65.57361379,0.035
35,ENSG00000079102,HGNC:1535,RUNX1T1,22,-0.567397364,-488.375076,0.025380711
36,ENSG00000007314,HGNC:10591,SCN4A,21,2.716321382,93.06516818,0.005
37,ENSG00000169946,HGNC:16700,ZFPM2,21,2.087187942,277.9560213,0.005235602
38,ENSG00000159216,HGNC:10471,RUNX1,21,0.547964073,4085.787769,0.005
39,ENSG00000134250,HGNC:7882,NOTCH2,21,0.289733639,3291.523457,0.02617801
40,ENSG00000079841,HGNC:17282,RIMS1,20,18.69365037,186.2013098,0.005
41,ENSG00000029534,HGNC:492,ANK1,20,3.15298884,354.0884288,0.005235602
42,ENSG00000001626,HGNC:1884,CFTR,20,2.69546486,45.47264679,0.005
43,ENSG00000138162,HGNC:11523,TACC2,20,2.164844493,2471.161306,0.005
44,ENSG00000110799,HGNC:12726,VWF,20,1.022027679,5815.601309,0.005076142
45,ENSG00000142949,HGNC:9670,PTPRF,20,0.964981234,22105.07996,0.005
46,ENSG00000197386,HGNC:4851,HTT,20,-0.353769265,-3898.921583,0.015463918
47,ENSG00000225830,HGNC:3438,ERCC6,20,-0.523583241,-1004.928242,0.005
48,ENSG00000197565,HGNC:2208,COL4A6,19,679.3058668,660.4387514,0.005
49,ENSG00000107186,HGNC:7208,MPDZ,19,1.057360114,1087.060627,0.005
50,ENSG00000273079,HGNC:4586,GRIN2B,19,-0.833037958,-115.8779728,0.035532995
51,ENSG00000150995,HGNC:6180,ITPR1,19,-4.625103003,6397.098953,0.005347594
52,ENSG00000188153,HGNC:2207,COL4A5,19,-122.3097966,3590.755463,0.005
53,ENSG00000081052,HGNC:2206,COL4A4,18,0.683563602,75.82118269,0.005
54,ENSG00000012048,HGNC:1100,BRCA1,18,0.469256349,395.4062753,0.015
55,ENSG00000064012,HGNC:1509,CASP8,18,0.45183061,502.2221533,0.036082474
