Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
positive regulation of transcription, DNA-templated (GO:0045893)	125/1183	6.048127249377938E-41	1.9843905505209014E-37	0	0	5.175139526510037	479.2502137199248	ATF1;APP;CCNK;CD81;HNRNPU;GABPB1;ELK3;RPS6KA3;TRIM28;CDH1;RPS6KA1;CHEK1;EP300;BTRC;CDK5RAP2;DDX17;MEF2A;MAP2K2;SMARCC2;RUNX3;HCFC1;RUNX1;NIF3L1;DDX39B;DDIT3;UBA52;HOXB7;CTBP2;KMT2A;SHC1;MAX;EPAS1;XPC;PIK3R2;FOXO1;PPP3R1;ABL1;DVL3;TP53BP1;MAP2K7;SNX5;TFAP2A;STAT5B;POU2F1;VDR;ESRRG;SUPT5H;ESR1;NFKB2;SMAD7;COL1A1;DRAP1;CDK9;NFKBIA;DAB2;COPS5;SNW1;SP1;TADA3;REL;HNRNPD;ATM;OGT;NFE2L2;KDM5A;THRA;ARRB1;WASL;ING1;GLI3;IKBKB;ING5;SIN3A;HRAS;PELP1;NCK1;ARHGEF11;ACTR2;NCOA2;PARP1;PRMT2;RIPK2;TCF12;TFE3;NME2;AXIN1;FOS;TGFBR1;DNM2;ZEB2;ELF1;SFPQ;TFDP2;ELF3;IRF4;TRAF6;RHOQ;HDAC5;HDAC3;GPS2;MLLT3;EGFR;RXRA;IFI16;SERTAD1;HSF2;NRIP1;SPP1;HES1;RPS27A;TCF7L2;NPM1;NFYA;NFYB;MCRS1;STAT3;ZNF76;PML;PER1;CD4;TNIP2;APEX1;TAF7;CEBPZ;TAF6
regulation of transcription by RNA polymerase II (GO:0006357)	154/2206	2.276112915167552E-29	3.733963237332369E-26	0	0	3.340340407711521	220.30379596477886	ATF1;APP;CCNK;CD81;UBE2D3;HNRNPU;PRDM1;GABPB1;ELK3;RPS6KA3;TRIM28;RPS6KA1;EP300;CIR1;DDX17;MEF2A;ZNF165;SMARCC2;SP110;MED8;RUNX3;HCFC1;SAP30;RUNX1;THAP1;EID1;MAF;PRKAR1A;DDIT3;UBA52;HOXB7;PPID;DDX5;CTBP2;KMT2A;MAX;EPAS1;CREM;PIK3R2;HTATSF1;FOXO1;PPP3R1;ORC2;ABL1;DVL3;TP53BP1;TFAP2A;STAT5B;POU2F1;CBX4;VDR;PLK1;ESRRG;SUPT5H;ESR1;NFKB2;SMAD7;DRAP1;CDK9;NFKBIA;DAB2;HNRNPK;COPS5;SNW1;MRGBP;BCL6;SP1;MAFG;TADA3;REL;MDM2;ID3;ATM;MXD1;OGT;NFE2L2;GMEB1;ZNF250;THRA;PTEN;ARRB1;WASL;GLI3;IKBKB;SIN3B;SIN3A;SUFU;C1QBP;ELOC;HRAS;PELP1;NCK1;ACTR2;NCOA2;KLF11;PARP1;RIPK2;TCF12;ACTL6A;DNMT3A;TFE3;NME2;FOS;SAFB;ETV6;TOX4;ZEB2;ELF1;SFPQ;NCOR1;TFDP2;ELF3;IRF4;TRAF6;CRK;FBP1;JDP2;RHOQ;HDAC5;HDAC3;SATB1;GPS2;EGFR;AURKB;DNAJB1;RXRA;MTA1;IFI16;HSF2;NRIP1;RBBP8;HES1;RPS27A;E2F6;SMARCE1;TCF7L2;NPM1;NFYA;CDKN2A;NFYB;MCRS1;STAT3;MBD2;ZNF76;WWP2;ACVR2B;PER1;TNIP2;APEX1;DNAJA3;TAF7;CEBPZ;TAF6;TAF1
positive regulation of transcription by RNA polymerase II (GO:0045944)	93/908	4.789639760079914E-29	4.974012064540957E-26	0	0	4.705792931212335	306.8577571533555	ATF1;APP;CCNK;THRA;CD81;HNRNPU;ARRB1;WASL;GABPB1;GLI3;ELK3;IKBKB;RPS6KA3;SIN3A;RPS6KA1;EP300;HRAS;PELP1;NCK1;DDX17;MEF2A;ACTR2;NCOA2;PARP1;RIPK2;TCF12;TFE3;NME2;FOS;HCFC1;RUNX1;ZEB2;ELF1;SFPQ;TFDP2;ELF3;IRF4;DDIT3;TRAF6;UBA52;HOXB7;RHOQ;HDAC5;HDAC3;CTBP2;KMT2A;MAX;EPAS1;GPS2;PIK3R2;EGFR;FOXO1;PPP3R1;RXRA;IFI16;HSF2;NRIP1;ABL1;DVL3;HES1;TP53BP1;RPS27A;TFAP2A;STAT5B;TCF7L2;NPM1;POU2F1;NFYB;VDR;MCRS1;STAT3;ZNF76;SUPT5H;ESR1;NFKB2;SMAD7;DRAP1;CDK9;NFKBIA;PER1;DAB2;COPS5;SNW1;SP1;TNIP2;APEX1;REL;TAF7;CEBPZ;ATM;TAF6;OGT;NFE2L2
negative regulation of transcription, DNA-templated (GO:0045892)	95/948	6.06401958493259E-29	4.974012064540957E-26	0	0	4.60385567278885	299.12444923228503	THRA;UBE2D3;HNRNPU;PRDM1;GLI3;ELK3;ING4;SIN3B;TRIM28;QARS1;YWHAQ;SIN3A;SUFU;C1QBP;EP300;CIR1;BTRC;MEF2A;KLF11;RBFOX2;SMARCC2;PARP1;PRMT2;DNMT3A;RUNX3;HCFC1;SAP30;RUNX1;THAP1;ETV6;EID1;ZEB2;SFPQ;NCOR1;TFDP2;ELF3;DDIT3;TRAF6;ZMYND11;UBA52;CRYAB;FBP1;JDP2;PPID;KHDRBS1;HDAC5;DDX5;HDAC3;CTBP2;SHC1;MAX;SATB1;CREM;GPS2;FOXO1;AURKB;DNAJB1;RXRA;MTA1;IFI16;ORC2;NRIP1;HES1;RPS27A;E2F6;SNX6;SMARCE1;TFAP2A;TCF7L2;POU2F1;CBX4;CDKN2A;VDR;CBX3;PLK1;STAT3;MBD2;WWP2;SUPT5H;ESR1;ACVR2B;PML;SMAD7;DRAP1;PER1;DAB2;SNW1;BCL6;DNAJA3;MDM2;ID3;TAF7;MXD1;LIMS1;TAF1
regulation of transcription, DNA-templated (GO:0006355)	152/2244	1.5997543684746884E-27	1.0497588165930906E-24	0	0	3.2100671891952377	198.06097676580666	ATF1;CCNK;TRRAP;PRDM1;ELK3;RPS6KA3;TRIM28;CDH1;RPS6KA1;EP300;CIR1;BTRC;CDK5RAP2;DDX17;MEF2A;ZNF165;RBFOX2;MAP2K2;SMARCC2;SP110;MED8;RUNX3;HCFC1;SAP30;RUNX1;THAP1;EID1;NIF3L1;MAF;PRKAR1A;DDIT3;HOXB7;KHDRBS1;DDX5;CTBP2;KMT2A;SHC1;MAX;EPAS1;CREM;XPC;HTATSF1;FOXO1;ABL1;DVL3;TP53BP1;MAP2K7;SNX5;SNX6;TFAP2A;STAT5B;POU2F1;CBX4;VDR;CBX3;ESRRG;CDC6;SUPT5H;ESR1;NFKB2;SMAD7;COL1A1;DRAP1;HNRNPK;SNW1;MRGBP;BCL6;SP1;MAFG;TADA3;REL;HNRNPD;MDM2;ID3;MXD1;CDK14;OGT;CDK16;NFE2L2;KDM5A;GMEB1;ZNF250;THRA;ARRB1;ING1;GLI3;IKBKB;ING4;ING5;QARS1;YWHAQ;SIN3A;SUFU;ELOC;ARHGEF11;NCOA2;KLF11;PRMT2;TCF12;ACTL6A;TFE3;NME2;AXIN1;FOS;SAFB;TGFBR1;DNM2;ETV6;TOX4;ZEB2;ELF1;SFPQ;NCOR1;TFDP2;ELF3;IRF4;TRAF6;ZMYND11;CRYAB;CRK;JDP2;HDAC5;HDAC3;PCNA;SATB1;TGFBRAP1;MLLT3;EGFR;RXRA;IFI16;HSF2;SPP1;RBBP8;HES1;E2F6;SMARCE1;TCF7L2;NPM1;NFYA;CDKN2A;NFYB;STAT3;MBD2;ZNF76;WWP2;ACVR2B;PML;PER1;CD4;POLR3F;TAF7;LIMS1
regulation of apoptotic process (GO:0042981)	78/742	4.637561538453829E-25	2.535973234611169E-22	0	0	4.726716286989499	264.8399868266268	GSK3B;HIP1;FAF1;ITSN1;HSPB1;CLU;IGF1R;IKBKB;ING4;CASP9;ING5;RPS6KA3;CCND2;CASP10;AKT2;C1QBP;MCF2L;CFL1;RPS6KA1;CASP2;JAK2;SKP2;CTSB;ARHGEF11;BNIP3L;KLF11;PRMT2;RIPK2;NME2;SERPINB9;YWHAZ;DNM2;TIAM1;TRAF6;SOS1;SGK1;UBA52;CRYAB;CD44;PPID;ARHGEF6;HDAC3;SHC1;HTRA2;NOL3;EGFR;FOXO1;GNA13;PNMA1;IRAK1;BAG1;ABL1;TP53BP2;RPS27A;PAK2;BARD1;TFAP2A;NPM1;HSPA5;CBX4;BAD;PLK1;TNFRSF10A;DNAJA1;NFKBIA;DAB2;HNRNPK;SON;COPS5;BCL6;ERCC3;AXL;APEX1;DNAJA3;ATM;ERCC5;HSPA1B;HSPA1A
negative regulation of transcription by RNA polymerase II (GO:0000122)	73/684	7.260824187461565E-24	3.403252022723056E-21	0	0	4.769938139754223	254.1401522955568	THRA;UBE2D3;HNRNPU;PRDM1;GLI3;SIN3B;SIN3A;SUFU;C1QBP;EP300;CIR1;MEF2A;KLF11;PARP1;DNMT3A;RUNX3;HCFC1;SAP30;RUNX1;THAP1;ETV6;EID1;ZEB2;SFPQ;NCOR1;DDIT3;TRAF6;UBA52;FBP1;JDP2;PPID;HDAC5;DDX5;HDAC3;CTBP2;MAX;SATB1;CREM;GPS2;AURKB;DNAJB1;RXRA;MTA1;IFI16;ORC2;NRIP1;HES1;RPS27A;E2F6;TFAP2A;TCF7L2;CBX4;VDR;PLK1;STAT3;MBD2;WWP2;SUPT5H;ESR1;ACVR2B;SMAD7;DRAP1;PER1;DAB2;SNW1;BCL6;DNAJA3;MDM2;ID3;TAF7;MXD1;HSPA1A;TAF1
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	61/547	5.346300708357575E-21	2.1926515780151504E-18	0	0	4.919179165391286	229.61686504949503	GSK3B;THRA;DBI;GLI3;ELK3;ING4;SYNCRIP;TRIM28;QARS1;YWHAQ;SIN3A;CIR1;BTRC;RBFOX2;SMARCC2;IGFBP5;PRMT2;TSC1;TERF1;EID1;SFPQ;NCOR1;TFDP2;ELF3;DDIT3;NCL;TRAF6;ZMYND11;CRYAB;GAPDH;KHDRBS1;HDAC5;GRB7;HDAC3;CTBP2;SHC1;FOXO1;LARP1;IFI16;HES1;SNX6;SMARCE1;TFAP2A;TCF7L2;POU2F1;CBX4;CDKN2A;VDR;CBX3;MBD2;EIF2AK2;WWP2;CDC6;PML;PER1;SNW1;BCL6;MDM2;ID3;TAF7;LIMS1
regulation of intracellular signal transduction (GO:1902531)	51/437	1.5280406647324003E-18	5.570557134430006E-16	0	0	5.10016047492186	209.22156447909785	ITSN1;ARHGAP1;PTEN;HSPB1;PRDM1;ARHGAP5;ING5;MCF2L;CHEK1;EP300;TOPBP1;ARHGEF11;USP7;RALBP1;TIAM1;PRKAR1A;TRAF3;TRAF6;MAPT;SOS1;SGK1;CRK;OPTN;RHOQ;ARHGEF6;PIK3R2;EGFR;AURKB;CDC42;GNA13;PRKAR2A;RBBP8;TP53BP2;RBBP7;A2M;PAK2;PAK4;BARD1;LYN;MBD3;TAF10;TAF11;PML;NFKBIA;ARHGAP32;MDM2;TAF7;ATM;TAF6;TAF4;TAF1
negative regulation of nucleic acid-templated transcription (GO:1903507)	51/464	1.9908834257192326E-17	6.532088519784802E-15	0	0	4.75998666810442	183.0470395118373	THRA;GLI3;ELK3;ING4;TRIM28;QARS1;YWHAQ;SIN3A;CIR1;BTRC;RBFOX2;SMARCC2;PRMT2;EID1;NIF3L1;SFPQ;NCOR1;TFDP2;ELF3;DDIT3;TRAF6;ZMYND11;CRYAB;KHDRBS1;HDAC5;HDAC3;CTBP2;SHC1;FOXO1;IFI16;HES1;SNX6;SMARCE1;TFAP2A;TCF7L2;POU2F1;CBX4;CDKN2A;CBX3;VDR;MBD2;WWP2;PML;PER1;SNW1;BCL6;COPS2;MDM2;ID3;TAF7;LIMS1
