"","OncodriveCLUST","OncodriveFM","ActiveDriver","DriverNet","DawnRank","NetSig","CBNA","Hoang_FGF2_06True","Hoang_FGF2_07True","Hoang_HER2_06True","Hoang_HER2_07True","Hoang_VIM_06True","Hoang_VIM_07True","SC_HER2_06True","SC_HER2_07True","SC_VIM_06True","SC_VIM_07True","TP_HER2_07True"
"1","ENSG00000128928","ENSG00000141510","ENSG00000141510","ENSG00000039068","ENSG00000039068","ENSG00000105221","ENSG00000121879","ENSG00000121879","ENSG00000121879","ENSG00000121879","ENSG00000121879","ENSG00000121879","ENSG00000121879","ENSG00000141510","ENSG00000141510","ENSG00000039068","ENSG00000039068","ENSG00000155657"
"2","ENSG00000116560","ENSG00000039068","ENSG00000155657","ENSG00000086570","ENSG00000107485","ENSG00000078699","ENSG00000141510","ENSG00000155657","ENSG00000155657","ENSG00000151914","ENSG00000151914","ENSG00000198626","ENSG00000198626","ENSG00000039068","ENSG00000039068","ENSG00000141027","ENSG00000085224","ENSG00000121879"
"3","ENSG00000122406","ENSG00000107485","ENSG00000124942","ENSG00000165194","ENSG00000198947","ENSG00000124813","ENSG00000155657","ENSG00000198626","ENSG00000198626","ENSG00000039068","ENSG00000039068","ENSG00000151914","ENSG00000151914","ENSG00000085224","ENSG00000085224","ENSG00000171862","ENSG00000253729","ENSG00000141510"
"4","ENSG00000019582","ENSG00000055609","ENSG00000117724","ENSG00000101680","ENSG00000084674","ENSG00000117020","ENSG00000107485","ENSG00000151914","ENSG00000151914","ENSG00000198947","ENSG00000198947","ENSG00000039068","ENSG00000039068","ENSG00000253729","ENSG00000253729","ENSG00000104517","ENSG00000149311","ENSG00000198947"
"5","ENSG00000136826","ENSG00000171862","ENSG00000102974","ENSG00000198626","ENSG00000145675","ENSG00000172531","ENSG00000198947","ENSG00000198947","ENSG00000198947","ENSG00000141027","ENSG00000141027","ENSG00000163554","ENSG00000084674","ENSG00000065526","ENSG00000065526","ENSG00000149311","ENSG00000178209","ENSG00000039068"
"6","ENSG00000123364","ENSG00000159216","ENSG00000173821","ENSG00000115414","ENSG00000077522","ENSG00000102010","ENSG00000081479","ENSG00000084674","ENSG00000084674","ENSG00000084674","ENSG00000084674","ENSG00000084674","ENSG00000127603","ENSG00000171862","ENSG00000171862","ENSG00000178209","ENSG00000065534","ENSG00000127603"
"7","ENSG00000120896","ENSG00000065559","ENSG00000183091","ENSG00000138650","ENSG00000138778","ENSG00000089199","ENSG00000127603","ENSG00000127603","ENSG00000127603","ENSG00000127603","ENSG00000127603","ENSG00000127603","ENSG00000085224","ENSG00000141736","ENSG00000141736","ENSG00000118058","ENSG00000118058","ENSG00000084674"
"8","ENSG00000102900","ENSG00000095015","ENSG00000149115","ENSG00000169896","ENSG00000066279","ENSG00000091831","ENSG00000171862","ENSG00000085224","ENSG00000085224","ENSG00000085224","ENSG00000085224","ENSG00000085224","ENSG00000143669","ENSG00000196924","ENSG00000196924","ENSG00000115414","ENSG00000115414","ENSG00000085224"
"9","ENSG00000111450","ENSG00000135111","ENSG00000178209","ENSG00000050555","ENSG00000118513","ENSG00000171608","ENSG00000084674","ENSG00000143669","ENSG00000143669","ENSG00000171862","ENSG00000171862","ENSG00000081479","ENSG00000081479","ENSG00000184634","ENSG00000134982","ENSG00000196367","ENSG00000142949","ENSG00000081479"
"10","ENSG00000134057","ENSG00000140632","ENSG00000156697","ENSG00000154229","ENSG00000074047","ENSG00000020633","ENSG00000123384","ENSG00000081479","ENSG00000081479","ENSG00000081479","ENSG00000081479","ENSG00000142208","ENSG00000142208","ENSG00000134982","ENSG00000178104","ENSG00000100503","ENSG00000198646","ENSG00000171862"
