"","OncodriveCLUST","OncodriveFM","ActiveDriver","DriverNet","DawnRank","NetSig","CBNA","Hoang_FGF2_06True","Hoang_FGF2_07True","Hoang_HER2_06True","Hoang_HER2_07True","Hoang_VIM_06True","Hoang_VIM_07True","SC_HER2_06True","SC_HER2_07True","SC_VIM_06True","SC_VIM_07True","TP_HER2_07True"
"1","IVD","TP53","TP53","CDH1","CDH1","AKT2","PIK3CA","PIK3CA","PIK3CA","PIK3CA","PIK3CA","PIK3CA","PIK3CA","TP53","TP53","CDH1","CDH1","TTN"
"2","SFPQ","CDH1","TTN","FAT2","GATA3","CBFA2T2","TP53","TTN","TTN","DST","DST","RYR2","RYR2","CDH1","CDH1","NCOR1","ATRX","PIK3CA"
"3","RPL5","GATA3","AHNAK","PCDH19","DMD","RUNX2","TTN","RYR2","RYR2","CDH1","CDH1","DST","DST","ATRX","ATRX","PTEN","PRKDC","TP53"
"4","CD74","KMT2C","CENPF","LAMA1","APOB","AKT3","GATA3","DST","DST","DMD","DMD","CDH1","CDH1","PRKDC","PRKDC","UBR5","ATM","DMD"
"5","KLF4","PTEN","CTCF","RYR2","PIK3R1","PPP1CA","DMD","DMD","DMD","NCOR1","NCOR1","SPTA1","APOB","SPEN","SPEN","ATM","PLEC","CDH1"
"6","HOXC13","RUNX1","RNF213","FN1","ACTN2","BMX","LRP2","APOB","APOB","APOB","APOB","APOB","MACF1","PTEN","PTEN","PLEC","MYLK","MACF1"
"7","SORBS3","MAP2K4","NEB","PCDH10","CENPE","CHGB","MACF1","MACF1","MACF1","MACF1","MACF1","MACF1","ATRX","ERBB2","ERBB2","KMT2A","KMT2A","APOB"
"8","NUP93","MAP3K1","TNKS1BP1","ITGAM","ASPM","ESR1","PTEN","ATRX","ATRX","ATRX","ATRX","ATRX","LYST","FLNA","FLNA","FN1","FN1","ATRX"
"9","STX2","TBX3","PLEC","LAMC3","MYB","PIK3CD","APOB","LYST","LYST","PTEN","PTEN","LRP2","LRP2","MED12","APC","TRRAP","PTPRF","LRP2"
"10","CCNB1","GLYR1","UTP14A","PRKCA","GLI2","RUNX3","LRP1","LRP2","LRP2","LRP2","LRP2","AKT1","AKT1","APC","PDE4DIP","NIN","NCOA6","PTEN"
"11","PARVG","MYB","MINK1","DCHS2","STAT4","HSP90AA1","RYR1","AKT1","AKT1","AKT1","AKT1","NF1","FLNA","PDE4DIP","HTT","RUNX1","HIVEP1","LRP1"
"12","PSMA7","ZMYM3","CAP1","CDH23","CNTN1","HDAC8","ANK3","SMG1","PRKDC","NF1","FLNA","CHD4","LRP1","HTT","RB1","PTPRF","XPO1","MAP1A"
"13","POLR2C","CBFB","SLC3A2","PIK3R1","JAK3","ETV7","AKAP9","PRKDC","FLNA","FLNA","RUNX1","HSPG2","HSPG2","RB1","HIVEP1","TAF1","POM121","ERBB2"
"14","APH1A","BAX","RERE","ZNF208","ESR1","PIK3R3","LYST","FLNA","HSPG2","CHD4","HSPG2","RUNX1","RUNX1","HIVEP1","XPO1","ITPR1","SPTAN1","MAP2K4"
