"","TF","TF.isCGC","gene","gene.isCGC","NES","Confidence"
"1","BCL3",FALSE,"BCL3",FALSE,5.07,"High"
"2","BCL3",FALSE,"GNB2",FALSE,4.1,"High"
"3","BCL3",FALSE,"PRKACA",FALSE,4.1,"High"
"4","BCL3",FALSE,"RGS16",FALSE,4.1,"High"
"5","BRCA1",TRUE,"MED1",FALSE,5.29,"High"
"6","BRCA1",TRUE,"RFC5",FALSE,5.29,"High"
"7","BRCA1",TRUE,"BRCA1",TRUE,5.22,"High"
"8","BRCA1",TRUE,"MELK",FALSE,5.22,"High"
"9","BRCA1",TRUE,"TTF2",FALSE,5.22,"High"
"10","BRCA1",TRUE,"E2F2",FALSE,5.19,"High"
"11","BRCA1",TRUE,"CCND1",TRUE,4.82,"High"
"12","BRCA1",TRUE,"CDC25B",FALSE,4.82,"High"
"13","BRCA1",TRUE,"HTT",FALSE,4.82,"High"
"14","BRCA1",TRUE,"MYBL2",FALSE,4.82,"High"
"15","BRCA1",TRUE,"STAT5B",FALSE,4.14,"High"
"16","BRCA1",TRUE,"BRCA2",TRUE,4.1,"High"
"17","BRCA1",TRUE,"MCM6",FALSE,4.1,"High"
"18","BRCA1",TRUE,"TRIM37",FALSE,4.1,"High"
"19","BRCA1",TRUE,"CENPJ",FALSE,3.93,"High"
"20","BRCA1",TRUE,"CHEK2",TRUE,3.92,"High"
"21","BRCA1",TRUE,"EXOSC2",FALSE,3.92,"High"
"22","BRCA1",TRUE,"PIP4K2C",FALSE,3.66,"High"
"23","BRCA1",TRUE,"PLK1",FALSE,3.37,"High"
"24","CTCF",TRUE,"CDH1",TRUE,3.26,"High"
"25","CTCF",TRUE,"CSNK2A2",FALSE,3.26,"High"
"26","CTCF",TRUE,"CTCF",TRUE,3.26,"High"
"27","E2F2",FALSE,"CDC25B",FALSE,9.88,"High"
"28","E2F2",FALSE,"CENPJ",FALSE,9.88,"High"
"29","E2F2",FALSE,"MDC1",FALSE,8.87,"High"
"30","E2F2",FALSE,"PLK1",FALSE,8.59,"High"
"31","E2F2",FALSE,"CCT7",FALSE,8.58,"High"
"32","E2F2",FALSE,"CDKN2A",FALSE,8.58,"High"
"33","E2F2",FALSE,"MPHOSPH6",FALSE,8.58,"High"
"34","E2F2",FALSE,"TAF4",FALSE,8.58,"High"
"35","E2F2",FALSE,"TRIM37",FALSE,8.58,"High"
"36","E2F2",FALSE,"PTPN2",FALSE,8.28,"High"
"37","E2F2",FALSE,"BAG6",FALSE,7.8,"High"
"38","E2F2",FALSE,"PLCG1",FALSE,7.34,"High"
"39","E2F2",FALSE,"PIK3R2",FALSE,6.86,"High"
"40","E2F2",FALSE,"LSM2",FALSE,5.82,"High"
"41","E2F2",FALSE,"E2F2",FALSE,11.2,"High"
"42","E2F2",FALSE,"CDK1",FALSE,11,"High"
"43","E2F2",FALSE,"FEN1",TRUE,11,"High"
"44","E2F2",FALSE,"MCM6",FALSE,11,"High"
"45","E2F2",FALSE,"MYBL2",FALSE,11,"High"
"46","E2F2",FALSE,"SF3B3",FALSE,11,"High"
"47","E2F2",FALSE,"BRCA2",TRUE,10.9,"High"
"48","E2F2",FALSE,"CHEK2",TRUE,10.9,"High"
"49","E2F2",FALSE,"HTATSF1",FALSE,10.9,"High"
"50","E2F2",FALSE,"MELK",FALSE,10.9,"High"
"51","E2F2",FALSE,"BRCA1",TRUE,10.7,"High"
"52","E2F2",FALSE,"EXOSC2",FALSE,10.7,"High"
"53","E2F2",FALSE,"MTA2",FALSE,10.7,"High"
"54","E2F2",FALSE,"RFC5",FALSE,10.7,"High"
"55","E2F2",FALSE,"TTF2",FALSE,10.7,"High"
"56","ESR1",TRUE,"ERBB4",FALSE,4.28,"High"
"57","ESR1",TRUE,"NRIP1",FALSE,4.28,"High"
"58","ESR1",TRUE,"ESR1",TRUE,4.15,"High"
"59","ESR1",TRUE,"GAK",FALSE,3.8,"High"
"60","ESR1",TRUE,"IKBKB",FALSE,3.53,"High"
"61","ESR1",TRUE,"ERBB2",TRUE,3.1,"High"
"62","HOXB7",FALSE,"HOXB7",FALSE,4.23,"High"
"63","MYBL2",FALSE,"CENPJ",FALSE,3.05,"High"
"64","MYBL2",FALSE,"EXOSC2",FALSE,3.05,"High"
"65","MYBL2",FALSE,"MTA2",FALSE,3.05,"High"
"66","MYBL2",FALSE,"RFC5",FALSE,3.05,"High"
"67","NFATC2",FALSE,"CYFIP2",FALSE,3.71,"High"
"68","NFATC2",FALSE,"IL16",FALSE,3.71,"High"
"69","NFATC2",FALSE,"ITK",FALSE,3.71,"High"
"70","RB1",TRUE,"RB1",TRUE,3.24,"High"
"71","SOX9",FALSE,"REPS1",FALSE,3.8,"High"
"72","SOX9",FALSE,"SOX9",FALSE,3.8,"High"
"73","STAT5B",FALSE,"STAT5B",FALSE,3.02,"High"
"74","THRA",FALSE,"ERBB2",TRUE,5.67,"High"
"75","THRA",FALSE,"GRB7",FALSE,5.67,"High"
"76","THRA",FALSE,"THRA",FALSE,5.67,"High"
"77","THRA",FALSE,"STAT5B",FALSE,4.97,"High"
"78","THRA",FALSE,"NFE2L1",FALSE,3.79,"High"
"79","THRA",FALSE,"PLXNB1",FALSE,3.79,"High"
"80","THRA",FALSE,"UNC119",FALSE,3.79,"High"
"81","THRA",FALSE,"PKN1",FALSE,3.09,"High"
