"","logFC","logCPM","LR","PValue","FDR","gene_name","gene_type"
"ENSG00000000005",-3.80532089461526,0.956813597925199,416.771164899546,1.23096809276231e-92,3.03156977895567e-91,"TNMD","protein_coding"
"ENSG00000000460",1.70161755477808,3.62301239543642,442.078396942217,3.82040440248369e-98,1.03352271664971e-96,"C1orf112","protein_coding"
"ENSG00000000971",-1.14994155700483,6.28616102965276,177.868568332861,1.41518538431783e-40,1.0503497306362e-39,"CFH","protein_coding"
"ENSG00000001630",1.12968844371962,2.28583810407286,133.68369967922,6.40714037749215e-31,3.36487003400604e-30,"CYP51A1","protein_coding"
"ENSG00000002726",3.79641859161187,2.00263263885221,141.77153459887,1.09103038439771e-32,6.1682746804862e-32,"AOC1","protein_coding"
"ENSG00000002745",1.13407549284411,-2.7959228138911,18.1673467527548,2.02318106683326e-05,3.09920260021855e-05,"WNT16","protein_coding"
"ENSG00000003096",-2.5522012192035,3.50940276633904,467.871324797941,9.31078333048684e-104,2.7939512132484e-102,"KLHL13","protein_coding"
"ENSG00000003137",-2.16766377519161,3.1195012359266,369.639321795977,2.24246168831552e-82,4.58963433689342e-81,"CYP26B1","protein_coding"
"ENSG00000003249",1.79145541202648,5.47752841977862,239.771106830938,4.41178713137787e-54,5.00011086563192e-53,"DBNDD1","protein_coding"
"ENSG00000003436",-1.63995565292772,4.6233063795283,257.235590452866,6.87232326329963e-58,8.59811836117121e-57,"TFPI","protein_coding"
"ENSG00000003989",1.33401000395447,7.83801803311053,35.8728756373525,2.10620552696556e-09,4.08487012065858e-09,"SLC7A2","protein_coding"
"ENSG00000004478",1.35941014026426,8.76378513081147,241.767281434889,1.61944072321658e-54,1.8569777369982e-53,"FKBP4","protein_coding"
"ENSG00000004776",-4.74362871334911,5.67170878004373,1802.25789538451,0,0,"HSPB6","protein_coding"
"ENSG00000004799",-3.06890207944685,6.90142677119488,693.99844646354,6.03655817777851e-153,4.23536213156726e-151,"PDK4","protein_coding"
"ENSG00000004838",2.68956438571112,3.88528217252886,209.876926233809,1.46122485040099e-47,1.35269058885009e-46,"ZMYND10","protein_coding"
"ENSG00000004846",-3.34711491181566,-0.3174789644542,428.382584971601,3.65527291600977e-95,9.36873826895803e-94,"ABCB5","protein_coding"
"ENSG00000004848",1.43304371188179,0.320294533045882,16.7467874424199,4.27145262457653e-05,6.40783598233849e-05,"ARX","protein_coding"
"ENSG00000004939",-2.21223119988867,-3.14400333004805,71.8465751598469,2.32596877535177e-17,6.83871283738865e-17,"SLC4A1","protein_coding"
"ENSG00000005001",1.50721494419305,3.82174033006622,168.146825684818,1.87901801555774e-38,1.30288824718996e-37,"PRSS22","protein_coding"
"ENSG00000005020",-1.03080520063629,4.9922957519459,238.442008300643,8.59848178194989e-54,9.66647764593272e-53,"SKAP2","protein_coding"
"ENSG00000005073",1.03078386766096,0.233808181401644,28.2442318782278,1.06932812635202e-07,1.88123433791793e-07,"HOXA11","protein_coding"
"ENSG00000005102",-2.67290299719168,3.09464776537049,450.55902471044,5.45075300056268e-100,1.54306149892562e-98,"MEOX1","protein_coding"
"ENSG00000005187",-1.54266499477163,2.20744777393704,227.23737888592,2.38693009661568e-51,2.49368353157412e-50,"ACSM3","protein_coding"
"ENSG00000005249",-2.08290593168263,6.09246567101452,514.447410737617,6.83271930467021e-114,2.42313072795623e-112,"PRKAR2B","protein_coding"
"ENSG00000005421",1.49983091645488,-0.867895397994084,23.4244888618393,1.29914144615981e-06,2.13495272620668e-06,"PON1","protein_coding"
"ENSG00000005448",1.11291310039212,3.84785953010169,169.292031538545,1.05632049576212e-38,7.37684614029362e-38,"WDR54","protein_coding"
"ENSG00000005882",-1.03024283712288,4.96518985688695,182.277210836893,1.54251599174511e-41,1.18405251550525e-40,"PDK2","protein_coding"
"ENSG00000005981",-1.9870515002976,-1.62865527632523,96.408524062726,9.34638895327764e-23,3.51458100122769e-22,"ASB4","protein_coding"
"ENSG00000006059",1.81235152974846,-1.85487528945527,22.6105455986999,1.98392652252329e-06,3.22524477594739e-06,"KRT33A","protein_coding"
"ENSG00000006118",1.72742355941702,7.12416615365466,218.10136615146,2.34710238699804e-49,2.29245027833735e-48,"TMEM132A","protein_coding"
"ENSG00000006128",-1.12175073435666,-0.471714282789053,22.0675888828819,2.63216686865403e-06,4.25073810010737e-06,"TAC1","protein_coding"
"ENSG00000006210",-2.56846541747586,6.69619835301695,547.411768233737,4.60296943941561e-121,1.89411221341353e-119,"CX3CL1","protein_coding"
"ENSG00000006283",-1.127129137102,0.796392681927985,60.7835885248385,6.3706813433836e-15,1.65857100377332e-14,"CACNA1G","protein_coding"
"ENSG00000006377",2.91692718577256,-0.441606714052233,42.496476573843,7.08096654987931e-11,1.49022715316569e-10,"DLX6","protein_coding"
"ENSG00000006453",1.12289194597838,5.41059879675462,181.577090978931,2.193236611202e-41,1.67826912912887e-40,"BAIAP2L1","protein_coding"
"ENSG00000006611",1.3066316952909,-0.304343101798369,15.4498166281403,8.47251631671435e-05,0.000124646576223799,"USH1C","protein_coding"
"ENSG00000006625",1.36307013148236,6.33595612750785,241.333792675457,2.0131793955789e-54,2.3057583153709e-53,"GGCT","protein_coding"
"ENSG00000006634",1.59547521502813,3.86569812946058,376.969285096844,5.68594127316162e-84,1.20942513122156e-82,"DBF4","protein_coding"
"ENSG00000006747",1.41970867211298,4.02345360636729,49.1006246838756,2.43162760078517e-12,5.55894237615035e-12,"SCIN","protein_coding"
"ENSG00000006788",1.67101682880412,-0.812264638069922,93.5942454655114,3.87312040969111e-22,1.41842308657576e-21,"MYH13","protein_coding"
"ENSG00000007174",-1.39865970582333,0.243882459701645,69.4621267913308,7.78959880671426e-17,2.23435477536708e-16,"DNAH9","protein_coding"
"ENSG00000007216",-1.91451438372737,3.01370158403849,84.5833634531532,3.6835167714324e-20,1.23852774740198e-19,"SLC13A2","protein_coding"
"ENSG00000007237",-1.03958292661286,5.7371652081791,130.496576038998,3.19082156225141e-30,1.62371444225708e-29,"GAS7","protein_coding"
"ENSG00000007306",2.68082661866988,0.182295306470927,70.1049005645345,5.62330954356977e-17,1.62540979026865e-16,"CEACAM7","protein_coding"
"ENSG00000007314",-3.58697356344729,2.16217990784261,1084.90245360213,6.31350931138495e-238,1.21925741701548e-235,"SCN4A","protein_coding"
"ENSG00000007402",1.18987358639799,4.49556037827809,51.1028466936336,8.7651087449713e-13,2.04795694861841e-12,"CACNA2D2","protein_coding"
"ENSG00000007908",-1.23724937251652,3.94183964072325,73.1259189913417,1.21636630751497e-17,3.63104144904798e-17,"SELE","protein_coding"
"ENSG00000007952",1.78638255227493,0.93697791548944,208.821986141484,2.48243796150706e-47,2.28503786876806e-46,"NOX1","protein_coding"
"ENSG00000007968",2.88018080479446,3.42664899535638,338.101587307521,1.65315838719392e-75,3.005112240654e-74,"E2F2","protein_coding"
"ENSG00000008056",2.44145724180365,1.6999412190101,128.829942767054,7.38851237006566e-30,3.7180839468042e-29,"SYN1","protein_coding"
"ENSG00000008118",1.60523881109552,-1.08123679011833,82.0377795282586,1.3351011913799e-19,4.37666365342268e-19,"CAMK1G","protein_coding"
"ENSG00000008283",1.05152169057362,7.78264110854875,137.947826574253,7.48168736778052e-32,4.0865391237345e-31,"CYB561","protein_coding"
"ENSG00000008300",2.30498998868552,4.5232020292534,177.415638312991,1.77710639450425e-40,1.31496434843723e-39,"CELSR3","protein_coding"
"ENSG00000008311",-1.57460951972423,2.61100032494283,406.952329005834,1.68862082190817e-90,3.9682589314842e-89,"AASS","protein_coding"
"ENSG00000008323",-1.15406982897453,4.66142997922983,152.650001916636,4.56840951700936e-35,2.83238485789153e-34,"PLEKHG6","protein_coding"
"ENSG00000008441",-1.10800279120157,8.0878366801073,108.676925856615,1.9101549369489e-25,8.08015008570557e-25,"NFIX","protein_coding"
"ENSG00000008516",1.09662857321872,3.06087910997298,47.6716542643362,5.03925339895295e-12,1.12873952166488e-11,"MMP25","protein_coding"
"ENSG00000008735",2.44981799063057,5.51085871367588,195.423612806422,2.08237345202519e-44,1.75829844942647e-43,"MAPK8IP2","protein_coding"
"ENSG00000009694",-1.26626557174704,1.06474407227308,63.0414012240385,2.02407077592374e-15,5.41482656485975e-15,"TENM1","protein_coding"
"ENSG00000009709",3.06988433983095,1.60905259301981,21.78018083559,3.05742160731048e-06,4.92078624066267e-06,"PAX7","protein_coding"
"ENSG00000009724",-1.00417960005061,0.375353893957577,101.269338058095,8.02890391010809e-24,3.15797077569386e-23,"MASP2","protein_coding"
"ENSG00000009765",1.07342907646878,1.60321814930594,13.0560364014482,0.00030230850598359,0.000427904746677063,"IYD","protein_coding"
"ENSG00000009790",1.27201805967329,3.1261351512466,88.6173422596623,4.79070764352784e-21,1.67250317857545e-20,"TRAF3IP3","protein_coding"
"ENSG00000009950",-3.6701918142187,2.63386147090988,976.802051613488,1.98026284899439e-214,2.88246469176385e-212,"MLXIPL","protein_coding"
"ENSG00000010030",2.39276048730205,2.78567587024937,227.403051936568,2.19637938322122e-51,2.29830364107993e-50,"ETV7","protein_coding"
"ENSG00000010282",-4.94299532918953,-0.960730056311945,447.9144085964,2.05116357774919e-99,5.70726755834492e-98,"HHATL","protein_coding"
"ENSG00000010319",-3.13724203680703,5.96620427637239,1263.51406753638,9.59871969631937e-277,3.01972625285015e-274,"SEMA3G","protein_coding"
"ENSG00000010327",-1.24046887485042,6.53319043764929,234.86035520882,5.19310596095626e-53,5.722685410647e-52,"STAB1","protein_coding"
"ENSG00000010438",1.05459957376332,-0.982016983639829,12.1257509826739,0.000497303004541175,0.000694089095068023,"PRSS3","protein_coding"
"ENSG00000011052",2.09625718562262,0.360378437239316,159.479418642039,1.47024671077354e-36,9.58141065607678e-36,"NME1-NME2","protein_coding"
"ENSG00000011083",1.11252233493671,-2.36001134423828,28.780214617479,8.10751414997242e-08,1.43695650609007e-07,"SLC6A7","protein_coding"
"ENSG00000011332",1.82078968064663,-0.0952939513843103,168.583630099746,1.50842321640421e-38,1.05002836673676e-37,"DPF1","protein_coding"
"ENSG00000011422",1.79756013439431,5.26587812801239,252.820669095485,6.30263114163862e-57,7.74136148725827e-56,"PLAUR","protein_coding"
"ENSG00000011426",3.71078309458037,5.3561315203148,539.746520020974,2.14080232001406e-119,8.4698477184329e-118,"ANLN","protein_coding"
"ENSG00000011465",-1.96686354506161,10.0617190611766,410.050255023344,3.57426908177112e-91,8.51234657386395e-90,"DCN","protein_coding"
"ENSG00000011523",-1.1465107402297,5.39828276651259,767.491967816453,6.31067548040568e-169,5.28282082597909e-167,"CEP68","protein_coding"
"ENSG00000011590",1.70092396870749,-0.0105198136111206,123.20289951636,1.2589360648984e-28,6.06759277139693e-28,"ZBTB32","protein_coding"
"ENSG00000011677",5.47963178665951,0.119168934901733,62.6792040796495,2.43270826244926e-15,6.48489471902047e-15,"GABRA3","protein_coding"
"ENSG00000012048",1.28947244894898,4.40923890764598,164.687432217837,1.07050846398903e-37,7.24254859178151e-37,"BRCA1","protein_coding"
"ENSG00000012822",-1.06510422725787,6.42642642084786,379.571223260868,1.54281131227803e-84,3.30687193911902e-83,"CALCOCO1","protein_coding"
"ENSG00000013293",-2.41499758140109,-3.17177314764359,104.689847179936,1.42831042288077e-24,5.80158159064754e-24,"SLC7A14","protein_coding"
"ENSG00000013297",-2.40001471739211,3.63873852275533,491.025245418275,8.52571605367132e-109,2.76236032602756e-107,"CLDN11","protein_coding"
"ENSG00000013588",2.32688908285299,8.4216928046696,231.255619884836,3.17333556011118e-52,3.42534090204585e-51,"GPRC5A","protein_coding"
"ENSG00000013725",1.1686878597846,3.45937977302727,69.8929602904645,6.26115044004235e-17,1.80576281728561e-16,"CD6","protein_coding"
"ENSG00000013810",2.25926558569715,5.57175041099144,491.915509542315,5.45783879222927e-109,1.77425242737386e-107,"TACC3","protein_coding"
"ENSG00000015413",2.45099048575934,1.08523617157155,217.064900147818,3.95023436705598e-49,3.82948913168126e-48,"DPEP1","protein_coding"
"ENSG00000015592",1.28984098536747,-1.45820586849743,14.6773004469223,0.000127573450832047,0.000185598579732906,"STMN4","protein_coding"
"ENSG00000016602",-2.89334272678572,-0.13285555869781,187.10256493892,1.36396588709967e-42,1.08499814958724e-41,"CLCA4","protein_coding"
"ENSG00000017427",-2.25505311678719,1.87954265895606,424.717061069548,2.29475123207008e-94,5.797813831804e-93,"IGF1","protein_coding"
"ENSG00000017483",1.99329201295072,3.18189219526815,183.442675014818,8.5858457881643e-42,6.64024274774562e-41,"SLC38A5","protein_coding"
"ENSG00000018280",1.47167231923253,2.99822335815497,131.810776560356,1.64582472754612e-30,8.47684481404463e-30,"SLC11A1","protein_coding"
"ENSG00000018625",-4.09988554816377,3.73144190998944,741.336302014635,3.07054851785286e-163,2.42473881946235e-161,"ATP1A2","protein_coding"
"ENSG00000019144",-1.30575930575709,6.48547018168485,412.887437095155,8.62205691105701e-92,2.07109876909073e-90,"PHLDB1","protein_coding"
"ENSG00000019169",-1.63398183319891,3.02425936221706,68.4038047045347,1.33220279650367e-16,3.78453474305331e-16,"MARCO","protein_coding"
"ENSG00000019485",-1.09720530597497,3.59006248578382,319.517717929216,1.84481559255158e-71,3.13988901681662e-70,"PRDM11","protein_coding"
"ENSG00000019505",5.40140514199105,6.09683695609122,192.448852957574,9.28574748989219e-44,7.66476956370491e-43,"SYT13","protein_coding"
"ENSG00000020181",-1.81792598224488,6.07337793703195,518.919421404152,7.27170979074922e-115,2.64124207576468e-113,"ADGRA2","protein_coding"
"ENSG00000020577",-1.50075485057706,4.33369645714697,386.08770163526,5.8830187796682e-86,1.28210370164724e-84,"SAMD4A","protein_coding"
"ENSG00000021488",1.24572499266255,-1.05502766155527,78.6125426859342,7.55680925091374e-19,2.38697270346676e-18,"SLC7A9","protein_coding"
"ENSG00000022267",-4.43502236118915,6.92588623341972,2133.50555578562,0,0,"FHL1","protein_coding"
"ENSG00000022556",1.33369553554144,5.11522179919874,30.5295360884556,3.28822048926573e-08,5.96731863073391e-08,"NLRP2","protein_coding"
"ENSG00000023572",1.30267226351994,3.76839469907386,208.218416904666,3.36174254436263e-47,3.07988672277093e-46,"GLRX2","protein_coding"
"ENSG00000024422",-2.22355462847514,7.60797084939882,987.150049180876,1.11532144237993e-216,1.71294053020634e-214,"EHD2","protein_coding"
"ENSG00000024526",3.77361027395244,4.17235211870382,482.440570964806,6.29047812915513e-107,1.99830253923731e-105,"DEPDC1","protein_coding"
"ENSG00000025039",-1.15113653430431,4.21957937930775,133.26501066901,7.91138860513995e-31,4.13815056967698e-30,"RRAGD","protein_coding"
"ENSG00000025423",3.5425444666834,2.4786440128024,771.100945714674,1.03604874115683e-169,8.9022602186185e-168,"HSD17B6","protein_coding"
"ENSG00000025708",1.34006277424622,7.09074329659192,170.805616022348,4.93417205243871e-39,3.48699369140642e-38,"TYMP","protein_coding"
"ENSG00000026025",-1.35764789066229,10.0363015192307,357.414669320689,1.0292902067827e-79,2.00964018851817e-78,"VIM","protein_coding"
"ENSG00000026559",2.68819514724551,2.44644947963138,78.5358458066214,7.85597068197681e-19,2.47946129695724e-18,"KCNG1","protein_coding"
"ENSG00000027869",1.85023622114663,2.18010272504587,164.393491155614,1.24108617511674e-37,8.37915744051645e-37,"SH2D2A","protein_coding"
"ENSG00000029153",1.03126587137539,3.73252516264893,51.0736281083891,8.89655342420763e-13,2.07742457247899e-12,"ARNTL2","protein_coding"
"ENSG00000029559",9.15274544083153,2.181161277929,451.593375664086,3.24604320210625e-100,9.24293031490254e-99,"IBSP","protein_coding"
"ENSG00000029993",2.52448288236119,6.33948739928152,373.125625535168,3.90531591176738e-83,8.13816098921183e-82,"HMGB3","protein_coding"
"ENSG00000031081",-1.10795162653011,5.39494350955338,275.95301445637,5.72172498275157e-62,7.87039815152112e-61,"ARHGAP31","protein_coding"
"ENSG00000033011",1.02702077539147,4.81374028202341,315.49130324974,1.38999902684887e-70,2.31725906142626e-69,"ALG1","protein_coding"
"ENSG00000033170",1.13641560851223,6.10665617241711,137.842839114076,7.88788018405185e-32,4.30478743676361e-31,"FUT8","protein_coding"
"ENSG00000034053",1.162077673158,2.89967488245633,57.1805611693233,3.97581470904368e-14,9.93953677260919e-14,"APBA2","protein_coding"
"ENSG00000034239",-1.9198586159732,0.157873953615677,133.694100658093,6.37366224034846e-31,3.34818965790457e-30,"EFCAB1","protein_coding"
"ENSG00000034971",-3.42714166617429,2.29216780635974,98.7673512293115,2.83977875881358e-23,1.0935811390061e-22,"MYOC","protein_coding"
