Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
positive regulation of transcription, DNA-templated (GO:0045893)	144/1183	2.058712534042541E-49	7.425776110291445E-46	0	0	5.530836506674478	620.0321520395208	ATF1;APP;TCERG1;SMARCB1;CCNT1;RBPJ;YY1;TBK1;KAT5;CDH1;MYC;CHEK2;MYB;RPS6KA1;SOX9;JUNB;CDK5RAP2;MAP3K5;MEN1;MAP2K3;ACVR1;MED1;SMARCC1;MAP2K2;FBXW11;RUNX3;MED6;RUNX2;HCFC1;DDIT3;HOXB7;SQSTM1;TP53;ASF1A;ATF3;PRKDC;DHX9;PIK3R2;BCL10;PSEN1;PCBP1;UBC;ABL1;HIVEP1;RIPK1;E4F1;SMAD2;STAT5B;SMAD4;JUND;SMAD3;POU2F1;JUP;VDR;NFATC2;NR1D2;ESR1;NFKB1;SMARCA4;COL1A1;CDK9;NFKBIA;CDK7;COPS5;SNW1;TADA3;SP3;BCL3;HNRNPD;PIN1;TCF4;TCF3;OGT;KDM5A;CALCOCO1;CD40;THRA;AKAP8L;MED19;ILK;CTCF;BRCA1;BRCA2;PKD1;MED12;IKBKB;MED14;NKRF;SIN3A;MYBL2;HRAS;YWHAH;ARHGEF11;ACTR2;ATRX;TFE3;PAX6;EDF1;SREBF2;KAT2B;CREB3;PLSCR1;KAT2A;ELF1;SFPQ;HAX1;IRF3;IRF4;TRAF6;IRF1;HCLS1;PLCB1;RHOQ;SMARCD1;HDAC2;HDAC3;NR2C2;EGFR;RXRB;SERTAD1;ERBB4;HSF2;HSF1;NRIP1;ERBB2;SPP1;ZNF746;E2F2;HES1;E2F4;TBL1X;RPS27A;MEF2D;MAP3K2;NPM1;NFYA;NR1H2;STAT3;ZNF76;HIPK2;SKI;CD4;CEBPZ;TAF6
positive regulation of transcription by RNA polymerase II (GO:0045944)	114/908	6.469314029435714E-40	1.166740785208731E-36	0	0	5.4506451447077575	491.84623383186397	ATF1;APP;TCERG1;SMARCB1;CCNT1;RBPJ;YY1;TBK1;KAT5;MYC;MYB;RPS6KA1;SOX9;JUNB;MEN1;ACVR1;MED1;MED6;RUNX2;HCFC1;DDIT3;HOXB7;SQSTM1;TP53;ATF3;NOTCH3;PRKDC;DHX9;PIK3R2;PCBP1;UBC;ABL1;HIVEP1;RIPK1;E4F1;SMAD2;STAT5B;SMAD4;JUND;SMAD3;POU2F1;JUP;VDR;NR1D2;ESR1;NFKB1;SMARCA4;CDK9;NFKBIA;CDK7;COPS5;SNW1;SP3;PIN1;TCF4;TCF3;OGT;CALCOCO1;CD40;THRA;AKAP8L;MED19;BRCA1;PKD1;CDC73;MED12;IKBKB;MED14;NKRF;SIN3A;MYBL2;HRAS;ACTR2;ATRX;TFE3;PAX6;SREBF2;KAT2B;CREB3;PLSCR1;KAT2A;ELF1;SFPQ;HAX1;IRF3;IRF4;TRAF6;IRF1;HCLS1;RHOQ;SMARCD1;HDAC2;HDAC3;NR2C2;EGFR;RXRB;HSF2;HSF1;NRIP1;ZNF746;E2F2;HES1;E2F4;TBL1X;RPS27A;MEF2D;NPM1;NR1H2;STAT3;ZNF76;HIPK2;SKI;CEBPZ;TAF6
regulation of transcription by RNA polymerase II (GO:0006357)	173/2206	1.005019765743295E-33	1.2083687650120217E-30	0	0	3.4281216083120394	260.46971118448874	RB1;ATF1;APP;TCERG1;SMARCB1;CCNT1;RIF1;EHMT2;RBPJ;IKZF3;YY1;ZFP36;TBK1;KAT5;CCND1;MYC;MYB;RPS6KA1;SOX9;JUNB;MEN1;PIAS4;ACVR1;MED1;ZNF165;SMARCC1;MED8;RUNX3;MED6;PIAS2;RUNX2;HCFC1;SAP30;EID1;DDIT3;TRIB3;HOXB7;SQSTM1;TP53;ATF3;PRKDC;DHX9;PIK3R2;PSEN1;HTATSF1;ATXN1;PCBP1;MED31;UBC;ABL1;HIVEP1;RIPK1;E4F1;SKIL;SMAD2;STAT5B;SMAD4;JUND;SMAD3;POU2F1;JUP;SMURF2;CBX4;FUS;VDR;PLK1;NFATC2;NR1D2;ESR1;NFKB1;SMARCA4;CDK9;NFKBIA;CDK7;COPS5;SNW1;MAFG;TADA3;SP3;MDM2;CDK1;PIN1;HBP1;TCF4;TCF3;MNAT1;OGT;NFE2L1;CALCOCO1;CD40;ZNF250;THRA;AKAP8L;PTEN;MED19;CTCF;BRCA1;CHD1;PKD1;CDC73;MED12;MECP2;IKBKB;MED14;NKRF;SIN3A;C1QBP;SUFU;MYBL2;ELOC;CIC;HRAS;ACTR2;ATRX;TFE3;PAX6;SAFB;ZHX1;SREBF2;KAT2B;CREB3;PLSCR1;KAT2A;ELF1;SFPQ;HAX1;IRF3;IRF4;TRAF6;IRF1;HCLS1;CRK;FBP1;RHOQ;SMARCD1;HDAC2;HDAC3;SATB1;NR2C2;HDAC9;NR2C1;EGFR;RXRB;HSF2;HSF1;NRIP1;ERBB2;ZNF746;E2F2;HES1;E2F4;TBL1X;MTA2;RPS27A;MEF2D;E2F6;SPEN;NPM1;NFYA;CDKN2A;NR1H2;STAT3;MBD2;ZNF76;ARID3A;MAPK14;ACVR2B;HIPK2;SKI;CEBPZ;TRIM37;TAF6;PKN1
regulation of transcription, DNA-templated (GO:0006355)	172/2244	2.9028548238871016E-32	2.617649337440194E-29	0	0	3.328918203918204	241.7361474256843	RB1;ATF1;SMARCB1;CCNT1;RBPJ;IKZF3;UBE2L3;YY1;KAT5;CDH1;MYC;CHEK2;MYB;SCMH1;RPS6KA1;SOX9;JUNB;CDK5RAP2;MAP3K5;MEN1;PIAS4;MAP2K3;ACVR1;MED1;ZNF165;SMARCC1;MAP2K2;FBXW11;MED8;RUNX3;MED6;PIAS2;RUNX2;HCFC1;SAP30;EID1;DDIT3;TRIB3;HOXB7;TP53;ATF3;DHX9;BCL10;PSEN1;HTATSF1;ATXN1;MED31;ABL1;HIVEP1;E4F1;SNX6;SMAD2;STAT5B;HSPA8;PHC2;SMAD4;JUND;SMAD3;POU2F1;SMURF2;CBX4;FUS;XRCC5;VDR;CBX3;NONO;NFATC2;NR1D2;PA2G4;ESR1;NFKB1;SMARCA4;COL1A1;POLA1;SNW1;MAFG;TADA3;SP3;BCL3;HNRNPD;MDM2;HBP1;TCF4;TCF3;MNAT1;CDK14;OGT;NFE2L1;KDM5A;CALCOCO1;CDKN1B;ZNF250;THRA;ILK;CTCF;BRCA1;BRCA2;CHD1;MED12;MECP2;IKBKB;MED14;NKRF;SIN3A;SUFU;MYBL2;HMG20A;ELOC;CIC;YWHAH;ARHGEF11;PRMT5;RING1;ATRX;TFE3;PAX6;EDF1;SAFB;ZHX1;SREBF2;CREB3;KAT2A;ELF1;SFPQ;IRF3;IRF4;TRAF6;IRF1;HCLS1;PLCB1;ZMYND11;CRYAB;CRK;SMARCD1;HDAC2;HDAC3;SATB1;NR2C2;HDAC9;NR2C1;EGFR;RXRB;ERBB4;HSF2;HSF1;ERBB2;SPP1;ZNF746;E2F2;HES1;E2F4;TBL1X;MEF2D;E2F6;POLR2L;MAP3K2;SPEN;NPM1;NFYA;CDKN2A;MBD1;NR1H2;STAT3;MBD2;ZNF76;ARID3A;MAPK14;ACVR2B;HIPK2;CD4;POLR3F;PKN1
negative regulation of transcription, DNA-templated (GO:0045892)	102/948	7.185678808792999E-30	5.183748692663269E-27	0	0	4.455228730468198	298.9701858331546	RB1;TCERG1;RIF1;EHMT2;RBPJ;YY1;ZFP36;KAT5;CCND1;MYC;MYB;SCMH1;SOX9;MEN1;PIAS4;MED1;FBXW11;RUNX3;RUNX2;HCFC1;SAP30;EID1;DDIT3;TRIB3;TP53;ATF3;PSEN1;ATXN1;UBC;HIVEP1;E4F1;SKIL;SNX6;SMAD2;HSPA8;PHC2;SMAD4;SMAD3;POU2F1;SMURF2;CBX4;XRCC5;VDR;CBX3;NONO;PLK1;NR1D2;PA2G4;ESR1;NFKB1;SMARCA4;SNW1;SP3;BCL3;MDM2;TCF3;CDKN1B;THRA;CTCF;BRCA1;CDC73;MECP2;NKRF;SIN3A;C1QBP;SUFU;CIC;RING1;PAX6;ZHX1;SREBF2;SFPQ;TRAF6;IRF1;PLCB1;ZMYND11;CRYAB;FBP1;HDAC2;HDAC3;SATB1;NR2C2;HDAC9;NR2C1;HSF1;NRIP1;ZNF746;FLNA;HES1;TBL1X;MTA2;RPS27A;E2F6;SPEN;CDKN2A;MBD1;NR1H2;STAT3;MBD2;ACVR2B;SKI;TRIM37
regulation of apoptotic process (GO:0042981)	86/742	2.0220819064277425E-27	1.2156082394141445E-24	0	0	4.742795931820322	291.51912906974945	ITGB1;TOP2A;ITSN1;ARAF;CIB1;IKZF3;IGF1R;IKBKB;CASP9;MYC;C1QBP;MCF2L;CFL1;RPS6KA1;TRIM24;SOX9;MAP3K5;CTSB;ARHGEF11;MED1;BNIP3L;HSP90AA1;ANXA1;SERPINB9;ACTN4;MIF;YWHAZ;TIAM1;MELK;HAX1;IRF3;DDAH2;TRAF6;RASA1;VDAC1;IL6ST;SOS1;SGK1;RAF1;CRYAB;SQSTM1;TP53;BIRC2;CD44;HDAC2;HDAC3;PRKDC;PSEN2;HTT;XIAP;HTRA2;BCL10;PSEN1;THBS1;EGFR;WRN;BCL2L11;IRAK1;BAG1;UBC;ABL1;FLNA;RIPK1;RPS27A;MAP4K4;MOAP1;NPM1;CBX4;SIAH2;PLK1;BRAF;PA2G4;CFLAR;HIPK3;NFKB1;TJP1;NFKBIA;COPS5;KRT18;APC;RPS6KB1;AXL;BCL3;CDK1;NF2;MAD2L1
positive regulation of nucleic acid-templated transcription (GO:1903508)	70/511	1.0619958296670717E-26	5.4723127965844685E-24	0	0	5.634326139944117	336.97249515698246	KDM5A;CALCOCO1;ILK;CTCF;BRCA1;BRCA2;IKBKB;MED12;MED14;KAT5;CDH1;MYC;CHEK2;MYB;RPS6KA1;SOX9;CDK5RAP2;MAP3K5;YWHAH;MAP2K3;ACVR1;ARHGEF11;MED1;SMARCC1;MAP2K2;FBXW11;TFE3;PAX6;EDF1;RUNX3;RUNX2;HCFC1;KAT2A;ELF1;IRF4;DDIT3;IRF1;PLCB1;TP53;HDAC2;BCL10;PSEN1;EGFR;RXRB;ERBB4;SPP1;HES1;TBL1X;MAP3K2;SMAD2;NPM1;SMAD4;SMAD3;NFYA;NR1H2;STAT3;NFATC2;NR1D2;ESR1;NFKB1;HIPK2;SMARCA4;COL1A1;CD4;BCL3;SP3;TADA3;HNRNPD;TCF4;TCF3
negative regulation of programmed cell death (GO:0043069)	59/381	2.1069850244008917E-25	9.499868728767521E-23	0	0	6.412707276767907	364.3659829560838	ARAF;CIB1;IGF1R;IKBKB;MYC;RPS6KA1;CFL1;SOX9;MED1;BNIP3L;ANXA1;SERPINB9;MIF;YWHAZ;HAX1;DDAH2;RASA1;TRAF6;VDAC1;IL6ST;RAF1;TP53;CRYAB;SQSTM1;CD44;BIRC2;HDAC2;HDAC3;PRKDC;PSEN2;XIAP;PSEN1;THBS1;EGFR;IRAK1;BAG1;UBC;FLNA;RIPK1;RPS27A;MAP4K4;NPM1;CBX4;SIAH2;PLK1;BRAF;PA2G4;CFLAR;HIPK3;NFKB1;TJP1;NFKBIA;KRT18;COPS5;RPS6KB1;AXL;BCL3;CDK1;MAD2L1
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	70/547	6.562185645187698E-25	2.6299781802435586E-22	0	0	5.199200684678742	289.5086702010798	RB1;CDKN1B;THRA;FMR1;DBI;CTCF;BRCA1;RBPJ;MECP2;SYNCRIP;KAT5;NKRF;SIN3A;MYB;SCMH1;SOX9;CIC;MEN1;PIAS4;RING1;IGFBP5;FBXW11;TSC1;ZHX1;RUNX2;EID1;SFPQ;DDIT3;NCL;TRAF6;IRF1;TRIB3;PLCB1;ZMYND11;CRYAB;GAPDH;TP53;GRB7;HDAC2;HDAC3;HDAC9;ATXN1;FXR2;ZNF746;HES1;SNX6;SMAD2;SPEN;HSPA8;PHC2;SMAD4;POU2F1;CBX4;SMURF2;CDKN2A;XRCC5;CBX3;VDR;MBD1;NR1H2;NONO;MBD2;EIF2AK2;NR1D2;PA2G4;SMARCA4;SNW1;BCL3;SP3;MDM2
negative regulation of apoptotic process (GO:0043066)	65/485	2.7003830769027827E-24	9.740281758388337E-22	0	0	5.4485378567011225	295.6847862668691	RB1;ITGB1;ARAF;CIB1;IGF1R;IKBKB;MYC;CFL1;RPS6KA1;SOX9;MED1;BNIP3L;ANXA1;CSNK2A2;SERPINB9;MIF;YWHAZ;SFPQ;HAX1;DDAH2;TRAF6;RASA1;HCLS1;VDAC1;IL6ST;RAF1;CRYAB;SQSTM1;TP53;BIRC2;CD44;HDAC2;HDAC3;PRKDC;PSEN2;XIAP;PSEN1;THBS1;EGFR;IRAK1;BAG1;UBC;FLNA;RIPK1;RPS27A;SNX6;MAP4K4;NPM1;CBX4;SIAH2;PLK1;BRAF;PA2G4;CFLAR;HIPK3;NFKB1;TJP1;NFKBIA;COPS5;KRT18;RPS6KB1;AXL;BCL3;CDK1;MAD2L1
