Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Carcinogenesis	273/4065	1.3871221732718436E-55	8.612641573844877E-52	0	0	4.1457237760610575	523.6668868962723	ATF1;MDC1;APP;TES;SPARC;TRRAP;ZMYND8;ITSN1;ICAM1;RABGEF1;RPS6KA3;PSMD4;TRIM28;AKT2;RPS6KA1;CHEK1;BTRC;SKP2;B2M;DDX17;MEF2A;RBFOX2;RUNX3;SND1;RUNX1;PRKAR1A;DDIT3;NUP98;PFN1;HOXB7;OPTN;GRB7;CTBP2;EPAS1;FLII;PIK3R3;XPC;TXN;LARP1;INPP5D;SNX9;TP53BP1;SNX5;ABCA1;BARD1;VASP;STAT5B;PNO1;PLK1;FN1;EIF2AK2;CDC6;HNRNPL;HNRNPK;TDP2;TRIP6;REL;HNRNPD;ATM;CDK16;DDR1;HIP1;FAF1;CLTC;ING1;GLI3;IKBKB;ING4;ING5;XPO1;CASP10;C1QBP;PBK;ANXA7;JAK2;HRAS;APPL1;CTSB;UPF1;NCOA2;PARP1;TSC22D1;PRMT2;TFE3;GAB1;NME2;FOS;GAB2;TERF1;TOX4;ZEB2;PLCB3;CD47;SGK1;CRYAB;CD44;PAFAH1B1;PCNA;SATB1;NEDD9;NOL3;EGFR;NRAS;ATP5F1B;RXRA;SERTAD1;SPP1;CTNNA1;RPS27A;PAK2;MBD3;NPM1;GOLM1;CDKN2A;MCRS1;STAT3;MBD2;SORBS2;PER1;KRT19;AXL;APEX1;ABI1;ZYX;HSPA1B;LIMS1;HSPA1A;CSE1L;GTF2B;JADE1;PEBP1;IRS2;CLU;SAT1;IGF1R;CCND3;CCND2;CDH1;RNF19A;KIF5B;KHSRP;EP300;RAB2A;PDIA3;USP7;RALBP1;MAP2K2;IGFBP5;FBXW7;USP4;CASK;TSC1;TICAM1;TUBA4A;MAF;NCL;MAPKAPK2;SRSF3;S100A4;MAD1L1;KHDRBS1;DDX5;KMT2A;SHC1;MAX;CUL3;CREM;HTRA2;FBLN1;FOXO1;RAP1B;BAG1;ABL1;LPXN;TNFRSF14;STAP2;MAP2K7;TFAP2A;POU2F1;HSPA5;VDR;TNK2;TNFRSF10A;ESR1;QKI;NFKB2;SMAD7;CDK9;NFKBIA;DAB2;PTPRC;CDK6;COPS5;BCL6;SP1;DLG5;TADA3;MDM2;MXD1;RAB5A;NFE2L2;FGFR1;KDM5A;RERE;GSK3B;THRA;PTEN;TNFAIP3;HSPB1;ARRB1;DBI;PIK3CG;CASP9;EEF2K;SIN3B;SIN3A;SNRNP70;SUMO2;CASP2;PELP1;ARHGEF11;KLF11;AKTIP;DNMT3A;AXIN1;SAFB;YWHAZ;TGFBR1;DNM2;ETV6;TGFBR2;CCNA2;SFPQ;PKM;ELF3;IRF4;TRAF6;SOS1;GAPDH;CRK;FBP1;HDAC5;HDAC3;ROCK1;AURKB;SELENBP1;CDC42;DNAJB1;MTA1;IFI16;TAF1B;TAF1C;POLR2C;NRIP1;RBBP8;HES1;RBBP7;HNRNPA1;SMARCE1;TCF7L2;NAP1L1;PTPN12;PML;CUL4A;NIN;ERCC3;DNAJA3;EIF3E;STUB1;CEBPZ;KRAS;VIM;RAN
Malignant neoplasm of breast	306/5054	1.6374083541444312E-54	5.083334235441387E-51	0	0	3.9658556961222167	491.15726934899493	CYFIP2;MDC1;APP;TES;SPARC;WIPF1;HNRNPU;UBE2L6;ELK3;ICAM1;RABGEF1;RPS6KA3;PSMD4;TRIM28;AKT2;RPS6KA1;CHEK1;RCC1;BTRC;SKP2;B2M;DDX17;MEF2A;RBFOX2;SP110;RUNX3;SND1;RUNX1;TIAM1;PRKAR1A;DDIT3;NUP98;PFN1;HOXB7;OPTN;PFN2;GRB7;CTBP2;EPAS1;FLII;XPA;PIK3R3;XPC;PIK3R2;TXN;STC2;TP53BP2;TP53BP1;A2M;ABCA1;LYN;BARD1;VASP;STAT5B;PNO1;PLK1;FN1;EIF2AK2;RAB27A;CDC6;COL1A1;HNRNPL;HNRNPK;SNW1;REL;HNRNPD;ATM;HNRNPC;CDK14;DDR1;FAF1;ARHGAP1;ASH2L;WASL;ING1;PRSS23;GLI3;PTPRF;IKBKB;ING4;ING5;AKAP10;XPO1;CASP10;C1QBP;PBK;ANXA7;ELOC;JAK2;SPTAN1;HRAS;APPL1;CTSB;NCOA2;PARP1;PRMT2;RIPK2;TUBB;GAB1;NME2;SERPINB9;FOS;PPHLN1;GAB2;TERF1;CNKSR1;ZEB2;RAP2A;NCOR1;MAPT;CD47;SGK1;CRYAB;RHOQ;CD44;PAFAH1B1;ARF6;SF3B3;PCNA;SATB1;NEDD9;NOL3;TANK;EGFR;NRAS;RXRA;SERTAD1;SPP1;STX5;FLNB;RPS27A;PAK2;PAK4;NPM1;NFYA;CDKN2A;STAT3;MBD2;ELP1;PER1;KRT19;AXL;APEX1;ABI1;ZYX;HSPA1B;LIMS1;HSPA1A;CSE1L;UBE2D3;PEBP1;IRS2;PRDM1;CLU;SAT1;IGF1R;CCND3;CCND2;CDH1;TUBB3;RNF19A;CFL1;EP300;RAB2A;BNIP3L;USP7;RALBP1;IGFBP5;FBXW7;USP4;TSC1;TICAM1;ATP1B1;NCL;SRSF3;S100A4;MAD1L1;PPID;KHDRBS1;DDX5;KHDRBS3;KMT2A;SHC1;CUL3;ITPR1;CUL1;CREM;FBLN1;FOXO1;RAP1B;GRK2;IRAK1;UBR5;BAG1;ABL1;DVL3;LPXN;TNFRSF14;STAP2;MAP2K7;AP1M1;TFAP2A;POU2F1;HSPA5;VDR;CBX3;TNK2;VTA1;CBX1;LSM1;ESRRG;TNFRSF10A;ESR1;NFKB2;SMAD7;CDK9;NFKBIA;ARHGAP32;DAB2;PTPRC;CDK6;COPS5;BCL6;PTPRA;SP1;DLG5;TADA3;MDM2;MXD1;OGT;RAB5A;EIF4G2;NFE2L2;FGFR1;KDM5A;GSK3B;NUMA1;ITGB5;THRA;PTEN;TNFAIP3;HSPB1;ARRB1;PIK3CG;CASP9;EEF2K;SIN3B;SIN3A;MCF2L;SUMO2;CASP2;PELP1;ACTR2;DNMT3A;AXIN1;TNFRSF1B;SAFB;YWHAZ;TGFBR1;DNM2;ETV6;TGFBR2;CCNA2;ELF1;PKM;ELF3;IRF4;TRAF6;MCM5;SOS1;ZMYND11;GAPDH;CRK;FBP1;GTF2A1;HDAC3;ROCK1;AURKB;SELENBP1;CDC42;GNA13;MTA1;IFI16;NRIP1;RBBP8;HES1;RBBP7;HNRNPA1;SMARCE1;TCF7L2;BAD;NAP1L1;PTPN12;TPD52L1;PML;CUL4A;NIN;MCM3AP;ERCC3;DNAJA3;EIF3E;STUB1;ERCC5;KRAS;VIM;RAN
Breast Carcinoma	301/4963	2.312646151305631E-53	4.786406651152221E-50	0	0	3.9143590311623098	474.41490313096017	CYFIP2;MDC1;APP;TES;SPARC;WIPF1;HNRNPU;UBE2L6;ENO2;ELK3;ICAM1;RABGEF1;RPS6KA3;PSMD4;TRIM28;AKT2;RPS6KA1;CHEK1;RCC1;BTRC;SKP2;B2M;DDX17;MEF2A;RBFOX2;RUNX3;SND1;RUNX1;TIAM1;PRKAR1A;DDIT3;PFN1;HOXB7;OPTN;PFN2;GRB7;CTBP2;EPAS1;FLII;XPA;XPC;PIK3R2;TXN;STC2;TP53BP2;TP53BP1;A2M;ABCA1;LYN;BARD1;VASP;STAT5B;PNO1;PLK1;FN1;EIF2AK2;RAB27A;CDC6;COL1A1;HNRNPL;HNRNPK;SNW1;REL;HNRNPD;ATM;HNRNPC;CDK14;DDR1;FAF1;ARHGAP1;ASH2L;WASL;ARHGAP5;ING1;PRSS23;GLI3;PTPRF;IKBKB;ING4;ING5;AKAP10;CASP10;C1QBP;PBK;ANXA7;ELOC;JAK2;HRAS;APPL1;CTSB;NCOA2;PARP1;PRMT2;RIPK2;TUBB;GAB1;NME2;SERPINB9;FOS;GAB2;TERF1;CNKSR1;ZEB2;RAP2A;NCOR1;MAPT;CD47;SGK1;CRYAB;RHOQ;CD44;PAFAH1B1;ARF6;SF3B3;PCNA;SATB1;NEDD9;NOL3;TANK;EGFR;NRAS;RXRA;SERTAD1;SPP1;RPS27A;PAK2;PAK4;NPM1;NFYA;CDKN2A;STAT3;MBD2;ELP1;FKBP1A;PER1;KRT19;AXL;APEX1;ABI1;ZYX;HSPA1B;LIMS1;HSPA1A;CSE1L;UBE2D3;PEBP1;IRS2;PRDM1;CLU;SAT1;IGF1R;CCND3;CCND2;CDH1;TUBB3;RNF19A;CFL1;EP300;RAB2A;BNIP3L;USP7;RALBP1;IGFBP5;FBXW7;USP4;TSC1;ATP1B1;MAF;NCL;SRSF3;S100A4;MAD1L1;PPID;KHDRBS1;DDX5;KHDRBS3;KMT2A;SHC1;CUL3;ITPR1;CUL1;CREM;FBLN1;FOXO1;RAP1B;GRK2;IRAK1;UBR5;BAG1;ABL1;LPXN;TNFRSF14;STAP2;MAP2K7;TFAP2A;POU2F1;HSPA5;CBX4;VDR;TNK2;VTA1;CBX1;LSM1;ESRRG;TNFRSF10A;ESR1;NFKB2;SMAD7;CDK9;NFKBIA;ARHGAP32;DAB2;PTPRC;CDK6;COPS5;BCL6;PTPRA;SP1;DLG5;TADA3;MDM2;MXD1;OGT;RAB5A;EIF4G2;NFE2L2;FGFR1;KDM5A;GSK3B;NUMA1;ITGB5;THRA;MAST2;PTEN;TNFAIP3;HSPB1;ARRB1;PIK3CG;CASP9;EEF2K;SIN3B;SIN3A;MCF2L;SUMO2;CASP2;PELP1;ACTR2;DNMT3A;AXIN1;TNFRSF1B;SAFB;YWHAZ;TGFBR1;DNM2;ETV6;TGFBR2;CCNA2;ELF1;PKM;ELF3;IRF4;TRAF6;MCM5;SOS1;ZMYND11;GAPDH;CRK;FBP1;HDAC3;ROCK1;AURKB;SELENBP1;CDC42;GNA13;MTA1;IFI16;NRIP1;RBBP8;HES1;RBBP7;HNRNPA1;MEST;SMARCE1;TCF7L2;BAD;NAP1L1;PTPN12;TPD52L1;PML;CUL4A;NIN;MCM3AP;KANSL1;ERCC3;DNAJA3;EIF3E;STUB1;ERCC5;KRAS;VIM;RAN
Malignant neoplasm of prostate	236/3239	3.0516697943537863E-52	4.736954438285665E-49	0	0	4.184242941524495	496.3296085113472	MDC1;APP;CCNK;TES;SPARC;TRRAP;WIPF1;ZMYND8;ITSN1;ENO2;ICAM1;RABGEF1;RPS6KA3;AKT2;RPS6KA1;CHEK1;RCC1;SKP2;B2M;RUNX3;SND1;RUNX1;PRKAR1A;DDIT3;CDC37;PFN1;OPTN;GRB7;CTBP2;EPAS1;FLII;XPA;PIK3R3;XPC;PIK3R2;TXN;LARP1;PRKAR2A;STC2;TP53BP1;A2M;ABCA1;LYN;STAT5B;PNO1;PLK1;FN1;EIF2AK2;RAB27A;CDC6;HNRNPL;HNRNPK;ID3;ATM;HNRNPC;DDR1;TOP2B;HIP1;ARHGAP1;PTPRF;IKBKB;ING4;XPO1;CASP10;PBK;ANXA7;ELOC;JAK2;HRAS;APPL1;CTSB;UPF1;NCOA2;PARP1;TSC22D1;TCF12;GAB1;FOS;TERF1;ZEB2;RAP2A;NCOR1;CD47;SGK1;CRYAB;CD44;PCNA;SATB1;DLST;NEDD9;EGFR;AKAP1;NRAS;RXRA;HSF2;SPP1;STX4;PAK4;NPM1;NFYA;GOLM1;CDKN2A;STAT3;MBD2;WWP2;PER1;KRT19;AXL;APEX1;SERBP1;ZYX;HSPA1B;HSPA1A;PEBP1;IRS2;CLU;SAT1;IGF1R;CCND3;CCND2;CDH1;TUBB3;RNF19A;CFL1;EP300;PDIA3;BNIP3L;USP7;RALBP1;IGFBP5;FBXW7;TSC1;NRBP1;MAPKAPK2;S100A4;MAD1L1;PPID;KHDRBS1;DDX5;KMT2A;SHC1;CUL3;ITPR1;CREM;FBLN1;FOXO1;GRK2;IRAK1;BAG1;ABL1;LPXN;MAP2K7;TFAP2A;HSPA5;CBX4;VDR;CBX3;TNK2;VTA1;CBX1;LSM1;TNFRSF10A;ESR1;QKI;NFKB2;SMAD7;CDK9;NFKBIA;DAB2;PTPRC;CDK6;PTPRA;SP1;DLG5;MDM2;MXD1;OGT;RAB5A;NFE2L2;FGFR1;RERE;GSK3B;PTEN;HSPB1;DBI;PIK3CG;CASP9;SIN3B;SNRNP70;SUMO2;CASP2;TOPBP1;PELP1;ACTR2;AXIN1;SAFB;YWHAZ;TGFBR1;DNM2;ETV6;TGFBR2;CCNA2;PKM;ELF3;TRAF6;CHMP3;MCM5;SOS1;GAPDH;CRK;ROCK1;U2AF1;AURKB;SELENBP1;CDC42;GNA13;MTA1;IFI16;HES1;HNRNPA1;E2F6;SMARCE1;TCF7L2;BAD;NAP1L1;TPD52L1;PML;CUL4A;NAGK;ERCC3;CDK2AP2;ERCC5;KRAS;VIM;RAN;TAF1
Neoplasm Metastasis	262/3920	3.8772816382403835E-52	4.8148083383669084E-49	0	0	3.9980274609887423	473.2836543764805	ATF1;MDC1;APP;TES;SPARC;WIPF1;ENO2;ICAM1;RABGEF1;RPS6KA3;PSMD4;TRIM28;AKT2;RPS6KA1;CHEK1;BTRC;SKP2;B2M;RUNX3;SND1;RUNX1;TIAM1;MAP1B;DDIT3;XRN2;PFN1;HOXB7;PFN2;GRB7;CTBP2;EPAS1;FLII;PIK3R3;XPC;PIK3R2;TXN;STC2;TP53BP2;TP53BP1;A2M;ABCA1;LYN;VASP;STAT5B;PNO1;PLK1;FN1;EIF2AK2;RAB27A;CDC6;COL1A1;HNRNPK;TRIP6;ID3;ATM;DDR1;TOP2B;HIP1;FAF1;ARHGAP1;ARHGAP5;ING1;PTPRF;IKBKB;ING4;ING5;XPO1;CASP10;C1QBP;PBK;ANXA7;ELOC;JAK2;SPTAN1;HRAS;CTSB;UPF1;PARP1;EXOC7;RIPK2;TCF12;ACTL6A;TFE3;GAB1;NME2;SERPINB9;FOS;GAB2;TERF1;ZEB2;MAPT;CD47;CRYAB;CD44;PAFAH1B1;ARF6;PCNA;SATB1;GNAI3;NEDD9;EGFR;NRAS;SERTAD1;HSF2;SPP1;CTNNA1;FLNB;PAK4;NPM1;GOLM1;CDKN2A;MCRS1;STAT3;MBD2;PER1;KRT19;AXL;APEX1;ABI1;SERBP1;ZYX;HSPA1B;LIMS1;HSPA1A;CSF3R;CD81;CSE1L;UBE2D3;PEBP1;IRS2;PRDM1;CLU;SAT1;IGF1R;CCND2;CDH1;TUBB3;RNF19A;KIF5B;KHSRP;CFL1;EP300;BNIP3L;USP7;RALBP1;MAP2K2;IGFBP5;FBXW7;USP4;TSC1;NCL;S100A4;MAD1L1;IFNAR1;KHDRBS1;DDX5;KMT2A;SHC1;CUL3;CUL1;CREM;FBLN1;FOXO1;RAP1B;GRK2;IRAK1;UBR5;BAG1;ABL1;DVL3;LPXN;MAP2K7;TFAP2A;HSPA5;CBX4;VDR;TNK2;VTA1;CBX1;TNFRSF10A;SUPT5H;ESR1;SMAD7;CDK9;NFKBIA;COPS3;ARHGAP32;DIAPH1;DAB2;PTPRC;CDK6;COPS5;BCL6;PTPRA;SP1;DLG5;MDM2;MXD1;OGT;RAB5A;EIF4G2;NFE2L2;FGFR1;GSK3B;ITGB5;THRA;PTEN;TNFAIP3;HSPB1;ARRB1;PIK3CG;SIN3A;TOPBP1;PELP1;NCK1;ACTR2;KLF11;DNMT3A;AXIN1;TNFRSF1B;SAFB;YWHAZ;TGFBR1;DNM2;ETV6;TGFBR2;TAPBP;CCNA2;PKM;ELF3;IRF4;TRAF6;SOS1;GAPDH;CRK;PLEC;HDAC3;ROCK1;TGFBRAP1;AURKB;CDC42;GNA13;DNAJB1;MTA1;RBBP8;HES1;SMARCE1;TCF7L2;BAD;NAP1L1;PTPN12;PML;NIN;CD4;NAGK;DNAJA3;EIF3E;STUB1;ERCC5;KRAS;VIM;RAN
Prostate carcinoma	228/3145	1.2743113072711311E-49	1.3186998178077422E-46	0	0	4.077764524072418	459.09211638351263	MDC1;APP;CCNK;TES;SPARC;TRRAP;WIPF1;ZMYND8;ENO2;ICAM1;RABGEF1;RPS6KA3;AKT2;RPS6KA1;CHEK1;RCC1;BTRC;SKP2;B2M;RUNX3;SND1;RUNX1;PRKAR1A;DDIT3;CDC37;PFN1;OPTN;CTBP2;EPAS1;FLII;XPA;PIK3R3;XPC;PIK3R2;TXN;LARP1;PRKAR2A;STC2;TP53BP1;A2M;ABCA1;LYN;STAT5B;PNO1;PLK1;FN1;RAB27A;CDC6;HNRNPL;HNRNPK;ID3;ATM;HNRNPC;DDR1;TOP2B;HIP1;CLTC;ARHGAP1;PTPRF;IKBKB;ING4;XPO1;CASP10;PBK;ANXA7;ELOC;JAK2;HRAS;APPL1;CTSB;UPF1;NCOA2;PARP1;TSC22D1;TCF12;GAB1;FOS;TERF1;ZEB2;RAP2A;NCOR1;CD47;SGK1;CD44;PCNA;SATB1;DLST;GPS2;NEDD9;EGFR;AKAP1;RXRA;HSF2;SPP1;PAK4;NPM1;NFYA;GOLM1;CDKN2A;STAT3;MBD2;WWP2;PER1;KRT19;AXL;APEX1;SERBP1;ZYX;HSPA1B;HSPA1A;PEBP1;IRS2;CLU;SAT1;IGF1R;CCND3;CCND2;CDH1;TUBB3;RNF19A;CFL1;EP300;PDIA3;BNIP3L;USP7;RALBP1;IGFBP5;FBXW7;TSC1;NRBP1;MAPKAPK2;S100A4;PPID;KHDRBS1;DDX5;KMT2A;SHC1;ITPR1;CREM;FBLN1;FOXO1;GRK2;IRAK1;BAG1;ABL1;LPXN;MAP2K7;TFAP2A;POU2F1;HSPA5;CBX4;VDR;CBX3;TNK2;VTA1;CBX1;LSM1;TNFRSF10A;ESR1;QKI;NFKB2;SMAD7;CDK9;NFKBIA;DAB2;PTPRC;CDK6;PTPRA;SP1;DLG5;MDM2;MXD1;OGT;RAB5A;NFE2L2;FGFR1;RERE;GSK3B;PTEN;HSPB1;DBI;PIK3CG;CASP9;SIN3B;SNRNP70;SUMO2;CASP2;TOPBP1;PELP1;ACTR2;AXIN1;SAFB;YWHAZ;TGFBR1;DNM2;ETV6;TGFBR2;CCNA2;PKM;ELF3;TRAF6;CHMP3;MCM5;SOS1;GAPDH;CRK;ROCK1;AURKB;SELENBP1;CDC42;GNA13;MTA1;IFI16;HES1;HNRNPA1;E2F6;SMARCE1;TCF7L2;BAD;NAP1L1;PML;CUL4A;ERCC3;ERCC5;KRAS;VIM;RAN;TAF1
Malignant neoplasm of ovary	174/2026	8.648819503169857E-46	7.671502899311664E-43	0	0	4.457804777235072	462.5484722330095	CYFIP2;MDC1;TES;CSF3R;SPARC;CSE1L;PEBP1;IRS2;CLU;SAT1;ICAM1;IGF1R;ACTG1;RABGEF1;RPS6KA3;CCND2;TRIM28;CDH1;TUBB3;AKT2;RNF19A;RPS6KA1;CHEK1;EP300;SKP2;B2M;PDIA3;BNIP3L;USP7;RALBP1;RBFOX2;MAP2K2;FBXW7;TSC1;RUNX3;RUNX1;PRKAR1A;DDIT3;SRSF3;PFN1;MAD1L1;GRB7;CTBP2;KMT2A;EPAS1;CUL3;XPA;PIK3R3;HTRA2;XPC;PIK3R2;FBLN1;TXN;FOXO1;RAP1B;STC2;UBR5;ABL1;TP53BP1;MAP2K7;ABCA1;BARD1;TFAP2A;STAT5B;HSPA5;VDR;PLK1;FN1;TNFRSF10A;ESR1;SMAD7;NFKBIA;DAB2;PTPRC;CDK6;BCL6;SP1;MDM2;ID3;CYCS;ATM;HNRNPC;MXD1;CDK14;OGT;RAB5A;NFE2L2;FGFR1;DDR1;GSK3B;ITGB5;THRA;PTEN;HSPB1;ARRB1;ING1;PIK3CG;IKBKB;ING4;CASP9;XPO1;CASP10;CASP2;TOPBP1;JAK2;HRAS;APPL1;PELP1;CTSB;KLF11;PARP1;TUBB;DNMT3A;NME2;FOS;GAB2;TGFBR1;DNM2;ETV6;TGFBR2;CCNA2;CNKSR1;ZEB2;PLCB3;PKM;ELF3;CD47;SOS1;SGK1;CRYAB;GAPDH;CRK;CD44;HDAC3;PCNA;ROCK1;NEDD9;NOL3;EGFR;AURKB;SELENBP1;CDC42;NRAS;MTA1;SERTAD1;NRIP1;SPP1;RBBP8;HES1;MEST;PAK2;PAK4;SMARCE1;TCF7L2;CDKN2A;BAD;STAT3;MBD2;WWP2;PTPN12;PML;CUL4A;MAPK10;ERCC3;AXL;APEX1;ABI1;SERBP1;STUB1;ERCC5;KRAS;VIM;HSPA1B;HSPA1A
Mammary Neoplasms	190/2387	1.1072858485666971E-45	8.593922292188278E-43	0	0	4.204222146717354	435.19760590730687	ATF1;SPARC;PEBP1;IRS2;PRDM1;CLU;SAT1;ELK3;ICAM1;IGF1R;RABGEF1;RPS6KA3;CCND3;CCND2;CDH1;TUBB3;AKT2;RNF19A;KHSRP;CFL1;RPS6KA1;CHEK1;NEK1;EP300;SKP2;DDX17;MEF2A;BNIP3L;RALBP1;IGFBP5;FBXW7;TSC1;RUNX3;TUBA4A;RUNX1;TIAM1;PRKAR1A;DDIT3;NCL;MAPKAPK2;S100A4;PFN1;HOXB7;PPID;KHDRBS1;GRB7;DDX5;CTBP2;KMT2A;SHC1;EPAS1;FBLN1;FOXO1;STC2;BAG1;ABL1;TP53BP2;SNX9;TP53BP1;MAP2K7;ABCA1;LYN;BARD1;VASP;TFAP2A;STAT5B;POU2F1;HSPA5;VDR;TNK2;PLK1;CBX1;FN1;LSM1;RAB27A;TNFRSF10A;CDC6;ESR1;NFKB2;SMAD7;COL1A1;HNRNPL;CDK9;NFKBIA;DAB2;HNRNPK;SON;CDK6;COPS5;PTPRA;SP1;TADA3;REL;MDM2;ATM;OGT;NFE2L2;FGFR1;DDR1;HIP1;NUMA1;THRA;PTEN;HSPB1;WASL;PIK3CG;IKBKB;ING4;CASP9;XPO1;SIN3B;C1QBP;CASP2;TOPBP1;JAK2;HRAS;PELP1;CTSB;ARHGEF11;NCOA2;PARP1;TSC22D1;TUBB;DNMT3A;GAB1;NME2;FOS;GAB2;TERF1;TNFRSF1B;SAFB;TGFBR1;ETV6;TGFBR2;CCNA2;ZEB2;NCOR1;PKM;ELF3;MAPT;SOS1;SGK1;CRYAB;GAPDH;CRK;CD44;ARF6;HDAC3;PCNA;ROCK1;SATB1;NEDD9;NOL3;TANK;EGFR;AURKB;CDC42;RXRA;MTA1;NRIP1;SPP1;RBBP8;HES1;RBBP7;MEST;PAK2;REPS1;SMARCE1;NPDC1;TCF7L2;NPM1;CDKN2A;STAT3;MBD2;ELP1;PML;CUL4A;FKBP1A;PER1;MCM3AP;KRT19;CD4;APEX1;DNAJA3;ABI1;EIF3E;STUB1;KRAS;VIM;HSPA1B
Liver carcinoma	236/3593	4.2508069296406173E-44	2.932584469570955E-41	0	0	3.662470247649456	365.75858037636823	ATF1;APP;SPARC;ICAM1;RABGEF1;RPS6KA3;AKT2;CHEK1;BTRC;SKP2;RPS10;MEF2A;RUNX3;SND1;TIAM1;PRKAR1A;DDIT3;CDC37;NUP98;PFN1;HOXB7;GRB7;CTBP2;EPAS1;XPA;PIK3R3;XPC;PIK3R2;TXN;STC2;TP53BP2;TP53BP1;A2M;ABCA1;STAT5B;PNO1;PLK1;FN1;EIF2AK2;RAB27A;CDC6;COL1A1;HNRNPK;FUBP1;REL;HNRNPD;ATM;HNRNPC;CDK14;CDK16;DDR1;HIP1;CLTC;ARHGAP1;ASH2L;ARHGAP5;ING1;GLI3;IKBKB;ING4;ING5;XPO1;CASP10;C1QBP;PBK;ANXA7;JAK2;HRAS;CTSB;CCT3;UPF1;NCOA2;PARP1;EXOC7;ACTL6A;GAB1;NME2;FOS;TERF1;ZEB2;NCOR1;CD47;SGK1;CRYAB;JDP2;CD44;ARF6;PCNA;SATB1;GNAI3;NEDD9;NOL3;EGFR;NRAS;RXRA;SPP1;FLNB;RPS27A;PAK4;NPM1;NFYA;GOLM1;CDKN2A;STAT3;MBD2;PER1;RIT1;KRT19;AXL;APEX1;ABI1;ZYX;HSPA1B;HSPA1A;TJP2;CD81;CSE1L;PEBP1;IRS2;CLU;SAT1;IGF1R;ACTG1;CCND3;CCND2;CDH1;RNF19A;KHSRP;EP300;PDIA3;RALBP1;MAP2K2;IGFBP5;FBXW7;USP4;TSC1;NCL;SRSF3;CHMP4B;SRSF4;ERH;S100A4;MAD1L1;KHDRBS1;KMT2A;SHC1;CUL3;ITPR1;CUL1;HTRA2;FBLN1;FOXO1;GRK2;IRAK1;BAG1;DVL3;LPXN;TNFRSF14;MAP2K7;POU2F1;HSPA5;CBX4;VDR;TNK2;VTA1;ESRRG;TNFRSF10A;ESR1;SMAD7;CDK9;NFKBIA;PTPRC;CDK6;COPS5;SP1;MDM2;MXD1;RAB5A;NFE2L2;FGFR1;KDM5A;GSK3B;THRA;PTEN;HSPB1;ARRB1;PIK3CG;CASP9;FUNDC2;SUMO2;CASP2;PDCD6IP;AKTIP;DNMT3A;AXIN1;YWHAZ;TGFBR1;DNM2;TGFBR2;CCNA2;ELF1;PKM;TFDP2;TRAF3;TRAF6;PEX5;SOS1;GAPDH;CRK;FBP1;HDAC5;HDAC3;ROCK1;ADD1;AURKB;SELENBP1;CDC42;DNAJB1;MTA1;POLR2C;NRIP1;HES1;HNRNPA1;E2F6;MEST;SMARCE1;TCF7L2;BAD;PTPN12;PML;CUL4A;ERCC3;CDK2AP2;KRAS;VIM;RAN
Malignant neoplasm of pancreas	162/1846	1.9415242384652286E-43	1.2054923996630604E-40	0	0	4.463607722505783	438.9854891321604	APP;SPARC;HNRNPU;PEBP1;IRS2;PRDM1;CLU;ELK3;ICAM1;IGF1R;RABGEF1;CCND3;CCND2;CDH1;AKT2;RNF19A;KHSRP;CFL1;CHEK1;RCC1;EP300;BTRC;SKP2;USP7;RALBP1;MAP2K2;FBXW7;TSC1;TICAM1;RUNX3;TIAM1;NCL;MAPKAPK2;S100A4;PFN1;HOXB7;IFNAR1;KHDRBS1;GRB7;SHC1;EPAS1;XPA;XPC;TXN;FOXO1;RAP1B;GRK2;IRAK1;BAG1;TP53BP2;TP53BP1;MAP2K7;ABCA1;TFAP2A;STAT5B;HSPA5;PNO1;VDR;PLK1;FN1;EIF2AK2;TNFRSF10A;ESR1;SMAD7;NFKBIA;HNRNPK;PTPRC;CDK6;COPS5;SNW1;PTPRA;SP1;REL;MDM2;ATM;HNRNPC;OGT;RAB5A;NFE2L2;FGFR1;DDR1;RERE;GSK3B;CLTC;ARHGAP1;PTEN;HSPB1;GLI3;PIK3CG;IKBKB;ING4;CASP9;ING5;XPO1;EEF2K;SIN3B;SIN3A;C1QBP;MCF2L;ANXA7;CASP2;TOPBP1;JAK2;HRAS;PELP1;CTSB;ACTR2;KLF11;PARP1;DNMT3A;FOS;TNFRSF1B;TGFBR1;DNM2;TGFBR2;CCNA2;CNKSR1;ZEB2;PKM;TRAF6;CD47;SOS1;GAPDH;CRK;JDP2;CD44;ARF6;PLEC;HDAC3;PCNA;ROCK1;SATB1;NEDD9;U2AF1;NOL3;EGFR;AURKB;CDC42;GNA13;NRAS;RXRA;MTA1;SPP1;RBBP8;HES1;HNRNPA1;PAK4;TCF7L2;NPM1;CDKN2A;STAT3;SORBS2;DNAJA1;PER1;NIN;KRT19;ERG28;AXL;APEX1;STUB1;KRAS;VIM
