,Ensembl.ID,HGNC.ID,HGNC.symbol,Mut.Freq,RelEffect,AbsEffect,p
1,ENSG00000121879,HGNC:8975,PIK3CA,328,0.345787985,744.0998336,0.005
2,ENSG00000198626,HGNC:10484,RYR2,85,4.207954157,121.5234772,0.005
3,ENSG00000151914,HGNC:1090,DST,75,0.810777971,7603.923904,0.005
4,ENSG00000163554,HGNC:11272,SPTA1,57,0.843171877,12.33051766,0.005025126
5,ENSG00000039068,HGNC:1748,CDH1,55,1.043969794,15585.81786,0.005
6,ENSG00000127603,HGNC:13664,MACF1,43,1.600194802,12841.2051,0.005
7,ENSG00000084674,HGNC:603,APOB,42,37.69887771,19.92136529,0.005
8,ENSG00000081479,HGNC:6694,LRP2,40,2.038013069,5082.172344,0.005
9,ENSG00000085224,HGNC:886,ATRX,39,0.359271741,2133.592441,0.005235602
10,ENSG00000127914,HGNC:379,AKAP9,37,-0.662251158,-21957.52791,0.005
11,ENSG00000196712,HGNC:7765,NF1,36,5.059854012,7075.277791,0.005235602
12,ENSG00000065526,HGNC:17575,SPEN,35,1.822539385,4250.230221,0.005
13,ENSG00000166147,HGNC:3603,FBN1,34,7.633047861,15482.57377,0.005
14,ENSG00000165124,HGNC:15985,SVEP1,33,1.062376904,773.8409938,0.005
15,ENSG00000111642,HGNC:1919,CHD4,32,0.205198189,3429.260221,0.025
16,ENSG00000152818,HGNC:12635,UTRN,30,9.464904844,5506.285979,0.005
17,ENSG00000198734,HGNC:3542,F5,30,2.377713095,193.788459,0.02
18,ENSG00000153707,HGNC:9668,PTPRD,30,-2.205896081,1508.761437,0.04
19,ENSG00000123384,HGNC:6692,LRP1,29,9.982511975,24709.41149,0.005
20,ENSG00000166963,HGNC:6835,MAP1A,29,3.573477014,1302.940114,0.005
21,ENSG00000065559,HGNC:6844,MAP2K4,28,0.746543286,1001.479292,0.04
22,ENSG00000142208,HGNC:391,AKT1,27,0.514225066,5081.256894,0.005235602
23,ENSG00000185010,HGNC:3546,F8,27,-0.595788733,-1480.950639,0.02
24,ENSG00000042832,HGNC:11764,TG,26,4.192093843,70.05460452,0.005
25,ENSG00000149311,HGNC:795,ATM,25,4.562617712,2396.868058,0.005
26,ENSG00000101680,HGNC:6481,LAMA1,24,4.369950389,330.5574967,0.005
27,ENSG00000127329,HGNC:9665,PTPRB,24,1.83371949,1538.254578,0.005
28,ENSG00000178209,HGNC:9069,PLEC,24,0.554148602,9368.296943,0.005076142
29,ENSG00000038427,HGNC:2464,VCAN,23,2.048457066,16525.61321,0.005
30,ENSG00000134982,HGNC:583,APC,23,1.559688529,1346.884515,0.020942408
31,ENSG00000065534,HGNC:7590,MYLK,23,1.243209454,4132.391215,0.005208333
32,ENSG00000118058,HGNC:7132,KMT2A,23,0.889178285,2384.589788,0.005
33,ENSG00000142798,HGNC:5273,HSPG2,22,14.4753087,17764.87741,0.005
34,ENSG00000100503,HGNC:14906,NIN,22,1.540668078,2161.872843,0.005
35,ENSG00000130396,HGNC:7137,AFDN,22,0.995157499,3900.52262,0.005235602
36,ENSG00000096433,HGNC:6182,ITPR3,22,0.843371226,2741.743819,0.005154639
37,ENSG00000196367,HGNC:12347,TRRAP,22,0.759431493,2868.675272,0.005
38,ENSG00000167522,HGNC:21316,ANKRD11,22,0.504255075,1578.138957,0.005154639
39,ENSG00000137076,HGNC:11845,TLN1,22,0.406877317,7075.516934,0.02
40,ENSG00000079102,HGNC:1535,RUNX1T1,22,-0.842282344,-1998.548642,0.015151515
41,ENSG00000169946,HGNC:16700,ZFPM2,21,17.54380129,389.4492443,0.005
42,ENSG00000159216,HGNC:10471,RUNX1,21,12.13214088,10676.80078,0.02
43,ENSG00000134250,HGNC:7882,NOTCH2,21,2.218412869,10127.18495,0.005235602
44,ENSG00000007314,HGNC:10591,SCN4A,21,1.620167893,78.69703336,0.005
45,ENSG00000029534,HGNC:492,ANK1,20,32.53427767,452.8635504,0.005235602
46,ENSG00000001626,HGNC:1884,CFTR,20,10.93547817,57.16354901,0.005
47,ENSG00000225830,HGNC:3438,ERCC6,20,4.851821466,756.8203735,0.031413613
48,ENSG00000079841,HGNC:17282,RIMS1,20,1.219105963,107.5540602,0.005
49,ENSG00000110799,HGNC:12726,VWF,20,0.75827696,4968.040535,0.005076142
50,ENSG00000070961,HGNC:814,ATP2B1,20,0.508201456,1021.101398,0.005
51,ENSG00000139687,HGNC:9884,RB1,20,0.497514631,1475.884387,0.005076142
52,ENSG00000138162,HGNC:11523,TACC2,20,0.419027,1064.016508,0.005
53,ENSG00000112769,HGNC:6484,LAMA4,20,0.413129521,1759.741936,0.03
54,ENSG00000198646,HGNC:15936,NCOA6,20,0.287235058,1181.122631,0.005235602
55,ENSG00000142949,HGNC:9670,PTPRF,20,-0.434150707,-34519.56002,0.025773196
56,ENSG00000176406,HGNC:17283,RIMS2,19,67.283687,240.5585805,0.005
57,ENSG00000197565,HGNC:2208,COL4A6,19,9.165452316,594.574515,0.03
58,ENSG00000273079,HGNC:4586,GRIN2B,19,3.7814346,18.91918067,0.02
59,ENSG00000107186,HGNC:7208,MPDZ,19,0.939977652,1025.009575,0.005
60,ENSG00000188153,HGNC:2207,COL4A5,19,0.580002699,1303.352186,0.015
61,ENSG00000137474,HGNC:7606,MYO7A,19,0.312110561,134.4705559,0.03
62,ENSG00000082898,HGNC:12825,XPO1,19,0.148893456,1508.017084,0.005235602
63,ENSG00000128591,HGNC:3756,FLNC,19,-0.486726,-1134.233399,0.020725389
64,ENSG00000142449,HGNC:18794,FBN3,19,-1.546723603,589.652527,0.02
65,ENSG00000161681,HGNC:15474,SHANK1,19,-3.555231025,80.60168003,0.020942408
66,ENSG00000081052,HGNC:2206,COL4A4,18,30.14247707,181.2441144,0.005
67,ENSG00000067369,HGNC:11999,TP53BP1,18,1.916570753,2220.11861,0.005
68,ENSG00000131626,HGNC:9245,PPFIA1,18,0.942905637,2609.533878,0.005
69,ENSG00000012048,HGNC:1100,BRCA1,18,0.595919862,461.7294684,0.045685279
70,ENSG00000094631,HGNC:14064,HDAC6,18,0.476877056,1059.177863,0.005
71,ENSG00000147162,HGNC:8127,OGT,18,-0.394224005,-6080.938581,0.020942408
