"","TF","TF.isCGC","gene","gene.isCGC","NES","Confidence"
"1","BRCA1",TRUE,"BRCA1",TRUE,5.22,"High"
"2","BRCA1",TRUE,"CCND1",TRUE,4.82,"High"
"3","BRCA1",TRUE,"CELSR3",FALSE,4.82,"High"
"4","BRCA1",TRUE,"HTT",FALSE,4.82,"High"
"5","BRCA1",TRUE,"SMARCC1",FALSE,4.56,"High"
"6","BRCA1",TRUE,"BARD1",TRUE,3.93,"High"
"7","BRCA1",TRUE,"PARP1",FALSE,3.92,"High"
"8","BRCA1",TRUE,"RFC1",FALSE,3.92,"High"
"9","CTCF",TRUE,"CDH1",TRUE,3.26,"High"
"10","CTCF",TRUE,"CTCF",TRUE,3.26,"High"
"11","EP300",TRUE,"EP300",TRUE,3.42,"High"
"12","ESR1",TRUE,"ITPR1",FALSE,4.37,"High"
"13","ESR1",TRUE,"WWP1",FALSE,4.37,"High"
"14","ESR1",TRUE,"ERBB4",FALSE,4.28,"High"
"15","ESR1",TRUE,"NEDD4L",FALSE,4.28,"High"
"16","ESR1",TRUE,"ESR1",TRUE,4.15,"High"
"17","ESR1",TRUE,"SPTBN4",FALSE,3.86,"High"
"18","ESR1",TRUE,"IKBKB",FALSE,3.53,"High"
"19","ESR1",TRUE,"GATA3",TRUE,3.36,"High"
"20","ESR1",TRUE,"ERBB2",TRUE,3.1,"High"
"21","ESR1",TRUE,"ITGA3",FALSE,3.1,"High"
"22","ESR1",TRUE,"FGFR2",FALSE,3.08,"High"
"23","ESRRG",FALSE,"ESRRG",FALSE,4.18,"High"
"24","ESRRG",FALSE,"SORBS2",FALSE,4.15,"High"
"25","ESRRG",FALSE,"CNTN2",FALSE,3.23,"High"
"26","GATA3",TRUE,"GATA3",TRUE,5.62,"High"
"27","GATA3",TRUE,"ESR1",TRUE,3.14,"High"
"28","KMT2A",FALSE,"ATM",FALSE,3.34,"High"
"29","KMT2A",FALSE,"EP300",TRUE,3.03,"High"
"30","KMT2A",FALSE,"SMARCA2",FALSE,3.03,"High"
"31","KMT2A",FALSE,"XRN1",FALSE,3.03,"High"
"32","RFX3",FALSE,"FGFR2",FALSE,7.33,"High"
"33","RFX3",FALSE,"MPDZ",FALSE,7.33,"High"
"34","RFX3",FALSE,"RFX3",FALSE,7.33,"High"
"35","RFX3",FALSE,"SMARCA2",FALSE,7.33,"High"
"36","RFX3",FALSE,"MAGI1",FALSE,7.32,"High"
"37","RFX3",FALSE,"CDKN1B",TRUE,6.77,"High"
"38","RFX3",FALSE,"ATP2B4",FALSE,6.17,"High"
"39","RFX3",FALSE,"NTRK2",FALSE,6.17,"High"
"40","RFX3",FALSE,"SORBS2",FALSE,6.17,"High"
"41","RFX3",FALSE,"COL4A5",FALSE,5.38,"High"
"42","RFX3",FALSE,"GLI3",FALSE,3.08,"High"
"43","RUNX1",FALSE,"RUNX1",FALSE,4.08,"High"
"44","SIN3A",FALSE,"SIN3A",FALSE,4.23,"High"
"45","SIN3A",FALSE,"DOCK1",FALSE,3.7,"High"
"46","SIN3A",FALSE,"IGF1R",FALSE,3.7,"High"
"47","SIN3A",FALSE,"CHD4",FALSE,3.03,"High"
"48","SIN3A",FALSE,"MAGI3",FALSE,3.03,"High"
"49","SIN3A",FALSE,"PER2",FALSE,3.03,"High"
"50","SIN3A",FALSE,"RFC1",FALSE,3.03,"High"
"51","STAT5A",FALSE,"STAT5A",FALSE,4.25,"High"
"52","TP63",FALSE,"COL17A1",FALSE,4.94,"High"
"53","TP63",FALSE,"DST",FALSE,3.69,"High"
"54","TP63",FALSE,"TP63",FALSE,3.69,"High"
"55","TP63",FALSE,"COL4A6",FALSE,3.22,"High"
"56","TP63",FALSE,"GRIA4",FALSE,3,"High"
