"","Ensembl.ID","HGNC.ID","HGNC.symbol","RelEffect","AbsEffect","p"
"1","ENSG00000167601","HGNC:905","AXL",967.014201418235,9.19085047934674,0.005
"2","ENSG00000026025","HGNC:12692","VIM",463.581270909223,48.2158636088719,0.005
"3","ENSG00000171843","HGNC:7136","MLLT3",176.593579732413,34.9199035243787,0.005
"4","ENSG00000137265","HGNC:6119","IRF4",147.916176107355,6.38592418581363,0.005
"5","ENSG00000118971","HGNC:1583","CCND2",126.111231965405,5.48083003793732,0.00546448087431694
"6","ENSG00000113739","HGNC:11374","STC2",113.523527363547,10.6657577190304,0.0050761421319797
"7","ENSG00000057657","HGNC:9346","PRDM1",92.6828486586496,7.91036097387434,0.0327868852459016
"8","ENSG00000071655","HGNC:6918","MBD3",82.459741194827,2.40231838557597,0.005
"9","ENSG00000028137","HGNC:11917","TNFRSF1B",63.524541743299,2.04157136815915,0.005
"10","ENSG00000168078","HGNC:18282","PBK",63.2829176808977,9.93183087862872,0.005
"11","ENSG00000182568","HGNC:10541","SATB1",60.5641037585108,10.2712774817603,0.005
"12","ENSG00000010610","HGNC:1678","CD4",56.699948082631,5.14858307925115,0.00546448087431694
"13","ENSG00000111674","HGNC:3353","ENO2",55.8603349972284,14.4718632240155,0.005
"14","ENSG00000105926","HGNC:18167","PALS2",55.0289719597977,9.48936340806491,0.005
"15","ENSG00000117676","HGNC:10430","RPS6KA1",54.1141528128315,9.33117783132149,0.00546448087431694
"16","ENSG00000132906","HGNC:1511","CASP9",50.2463137889943,2.46111575314823,0.005
"17","ENSG00000186318","HGNC:933","BACE1",50.0032974196056,4.75920918980796,0.005
"18","ENSG00000131773","HGNC:18117","KHDRBS3",38.7709185483533,27.9094354294186,0.0163934426229508
"19","ENSG00000141456","HGNC:30134","PELP1",37.1198013750348,2.24142296668949,0.005
"20","ENSG00000077684","HGNC:30027","JADE1",36.0652292130669,4.2989302811358,0.005
"21","ENSG00000173757","HGNC:11367","STAT5B",33.8365862247292,6.18373106534271,0.005
"22","ENSG00000111145","HGNC:3325","ELK3",30.5305937702958,3.91839858854392,0.00546448087431694
"23","ENSG00000105647","HGNC:8980","PIK3R2",30.1516931474424,3.44484626596762,0.005
"24","ENSG00000137486","HGNC:711","ARRB1",29.0597907525621,4.28412392817172,0.00546448087431694
"25","ENSG00000175104","HGNC:12036","TRAF6",28.9667363731478,9.01163892381799,0.00546448087431694
"26","ENSG00000163703","HGNC:14630","CRELD1",24.0549559314688,10.1023528704838,0.005
"27","ENSG00000115414","HGNC:3778","FN1",23.3793146802467,52.6242710577606,0.00546448087431694
"28","ENSG00000175220","HGNC:673","ARHGAP1",19.8049673850186,78.5677957284328,0.005
"29","ENSG00000160972","HGNC:14941","PPP1R16A",18.595252676913,4.47832942312841,0.005
"30","ENSG00000162236","HGNC:11440","STX5",18.0285695533423,6.38710996218054,0.005
"31","ENSG00000119689","HGNC:2911","DLST",16.4545310777002,7.33198972034419,0.00546448087431694
"32","ENSG00000100320","HGNC:9906","RBFOX2",16.0484999897679,24.7936903048134,0.005
"33","ENSG00000003400","HGNC:1500","CASP10",15.9641707412206,0.997454652945618,0.00546448087431694
"34","ENSG00000185950","HGNC:6126","IRS2",13.8895952010209,2.31551705628482,0.00523560209424084
"35","ENSG00000136936","HGNC:12814","XPA",13.1704073541002,5.26549304216292,0.00523560209424084
"36","ENSG00000173020","HGNC:289","GRK2",12.7958950474968,1.31255293789188,0.005
"37","ENSG00000120696","HGNC:25266","KBTBD7",12.3638538450352,4.71756776322694,0.005
"38","ENSG00000127511","HGNC:19354","SIN3B",11.59641681691,2.96918269091086,0.0163934426229508
"39","ENSG00000146648","HGNC:3236","EGFR",11.594048743501,5.71450452793568,0.005
"40","ENSG00000127946","HGNC:4913","HIP1",10.037393989133,7.02774671844475,0.005
"41","ENSG00000055163","HGNC:13760","CYFIP2",9.94408286119561,11.2178725055854,0.005
"42","ENSG00000109103","HGNC:12565","UNC119",9.84379339437447,15.8971841144267,0.005
"43","ENSG00000142166","HGNC:5432","IFNAR1",9.77736305900155,33.2007446286104,0.005
"44","ENSG00000103319","HGNC:24615","EEF2K",9.54703908320408,7.26911607488619,0.0050251256281407
"45","ENSG00000211899","HGNC:5541","IGHM",9.37162560728887,5.40112425215638,0.005
"46","ENSG00000105221","HGNC:392","AKT2",9.13330049230528,2.72002471393447,0.005
"47","ENSG00000145604","HGNC:10901","SKP2",8.58280993988777,8.25234215830312,0.005
"48","ENSG00000105851","HGNC:8978","PIK3CG",8.45407645603947,0.414084108758494,0.005
"49","ENSG00000020633","HGNC:10473","RUNX3",8.27630556320889,4.93420286598425,0.005
"50","ENSG00000107281","HGNC:7899","NPDC1",7.47822351595358,7.65284313399179,0.00523560209424084
"51","ENSG00000131323","HGNC:12033","TRAF3",7.04314238572693,2.6803708566299,0.015
"52","ENSG00000126351","HGNC:11796","THRA",6.92421043597574,6.41445761859102,0.005
"53","ENSG00000149782","HGNC:9056","PLCB3",6.3291026509518,0.87628815965197,0.00523560209424084
"54","ENSG00000091073","HGNC:15973","DTX2",6.30015573293809,6.07858797143972,0.005
"55","ENSG00000101189","HGNC:15866","MRGBP",6.24498083926692,5.32485464295201,0.0327868852459016
"56","ENSG00000118785","HGNC:11255","SPP1",6.16765499516413,53.540169379861,0.00546448087431694
"57","ENSG00000114739","HGNC:174","ACVR2B",6.0036581149994,1.86884470106135,0.00523560209424084
"58","ENSG00000069974","HGNC:9766","RAB27A",5.89309190543199,4.606596070349,0.00546448087431694
"59","ENSG00000002822","HGNC:6762","MAD1L1",5.81471561403867,5.44106579671656,0.005
"60","ENSG00000154710","HGNC:17676","RABGEF1",5.57969598889716,13.6461301652363,0.005
"61","ENSG00000087077","HGNC:12311","TRIP6",5.54759499882401,5.5771007063852,0.00523560209424084
"62","ENSG00000129675","HGNC:685","ARHGEF6",5.43933269007004,5.52245941318687,0.00546448087431694
"63","ENSG00000097007","HGNC:76","ABL1",5.43270124678236,3.58440951900907,0.00515463917525773
"64","ENSG00000163513","HGNC:11773","TGFBR2",5.27185130116778,2.31511211984054,0.00546448087431694
"65","ENSG00000157873","HGNC:11912","TNFRSF14",5.14736596698517,3.95238054853108,0.0050761421319797
"66","ENSG00000108599","HGNC:368","AKAP10",5.01270477394439,12.1954472889992,0.005
"67","ENSG00000090061","HGNC:1596","CCNK",4.97607368712799,16.3253849283188,0.005
"68","ENSG00000134909","HGNC:17399","ARHGAP32",4.86775561828543,11.7078214414349,0.005
"69","ENSG00000182979","HGNC:7410","MTA1",4.84243895963005,0.738495197441238,0.005
"70","ENSG00000168884","HGNC:19118","TNIP2",4.80785038386701,2.69369715525262,0.005
"71","ENSG00000113140","HGNC:11219","SPARC",4.7899578389566,11.1122813966938,0.005
"72","ENSG00000149311","HGNC:795","ATM",4.78908508037196,11.0168499897292,0.00523560209424084
"73","ENSG00000110713","HGNC:8068","NUP98",4.77338444274962,38.3255939866977,0.005
"74","ENSG00000090104","HGNC:9991","RGS1",4.71880677060277,71.3618504610546,0.005
"75","ENSG00000151276","HGNC:946","MAGI1",4.45527555501199,4.73604497520022,0.00546448087431694
"76","ENSG00000104365","HGNC:5960","IKBKB",4.43254101233803,14.2366644210738,0.005
"77","ENSG00000165029","HGNC:29","ABCA1",4.12861683570399,4.09482898077972,0.005
"78","ENSG00000121931","HGNC:30299","LRIF1",4.08364902146085,16.0241765293545,0.00523560209424084
"79","ENSG00000165140","HGNC:3606","FBP1",3.91550431680181,31.6235914523502,0.005
"80","ENSG00000125952","HGNC:6913","MAX",3.83412697881539,10.634437638952,0.0382513661202186
"81","ENSG00000176903","HGNC:9158","PNMA1",3.72658238109768,3.42557853992169,0.005
"82","ENSG00000143622","HGNC:10023","RIT1",3.68162436274536,50.4722245071073,0.005
"83","ENSG00000096968","HGNC:6192","JAK2",3.58739845843036,1.70927538144667,0.0157068062827225
"84","ENSG00000132485","HGNC:13058","ZRANB2",3.56151137458985,30.9835718518649,0.005
"85","ENSG00000077782","HGNC:3688","FGFR1",3.52857339271744,30.9643832708017,0.005
"86","ENSG00000160310","HGNC:5186","PRMT2",3.28565935432357,29.1342336594719,0.00523560209424084
"87","ENSG00000153071","HGNC:2662","DAB2",3.20553220863615,4.34048709245186,0.005
"88","ENSG00000077942","HGNC:3600","FBLN1",3.19405102880713,9.56967946145297,0.005
"89","ENSG00000170542","HGNC:8955","SERPINB9",3.15463212592083,29.7921322191311,0.005
"90","ENSG00000135966","HGNC:16836","TGFBRAP1",3.12315333973861,3.72160730439438,0.005
"91","ENSG00000157110","HGNC:19097","RBPMS",3.07376975218608,14.1606242041516,0.005
"92","ENSG00000082781","HGNC:6160","ITGB5",2.9803125289965,18.0061909103493,0.005
"93","ENSG00000114316","HGNC:12627","USP4",2.9434631413326,24.4941155855882,0.005
"94","ENSG00000103168","HGNC:11534","TAF1C",2.93842621912674,1.69422933037984,0.005
"95","ENSG00000095794","HGNC:2352","CREM",2.90033908871614,38.0537462271692,0.00523560209424084
"96","ENSG00000117318","HGNC:5362","ID3",2.72874204824225,38.575919059131,0.005
"97","ENSG00000091831","HGNC:3467","ESR1",2.72837367673917,37.2224168358924,0.02
